seed,mean_waiting,mean_speed,mean_queue,mean_vehicles
0,151.10694444444445,9.25466229047243,9.580555555555556,56.19777777777778
1,152.80416666666667,9.252302165054994,9.633333333333333,56.24611111111111
2,149.07805555555555,9.258084427993756,9.506388888888889,56.19305555555555
3,149.3325,9.294629172107074,9.530277777777778,55.925555555555555
4,145.79833333333335,9.342742415922887,9.403333333333334,55.675
5,147.49527777777777,9.296050301139369,9.492777777777778,55.95444444444445
6,149.78305555555556,9.275865750453733,9.532222222222222,56.06055555555555
7,149.50861111111112,9.281043920731873,9.5325,56.028333333333336
8,155.21416666666667,9.279416343829983,9.651111111111112,56.05388888888889
9,148.99194444444444,9.292838596091553,9.491666666666667,55.95916666666667
MEAN+-STD,149.911+-2.640,9.283+-0.027,9.535+-0.072,56.029+-0.167
