distance,best_offset,best_offset_waiting_time,qmix_waiting_time,qmix_gap_percent,best_offset_queue,qmix_queue,coordination_regime
100.0,25.0,217.763,235.912,8.334,15.231,17.715,Marginal coordination zone
200.0,45.0,195.628,197.619,1.018,15.443,15.496,Effective coordination zone
300.0,45.0,175.672,180.821,2.931,13.616,13.784,Effective coordination zone
500.0,70.0,226.379,335.613,48.253,15.823,20.974,Outside coordination horizon
750.0,0.0,197.676,360.508,82.373,15.434,21.974,Outside coordination horizon
1000.0,85.0,185.0,294.072,58.958,13.309,19.288,Outside coordination horizon
