controller,mean_total_waiting_time_mean,mean_total_waiting_time_std,mean_speed_mean,mean_speed_std,mean_total_queue_mean,mean_total_queue_std,mean_vehicle_count_mean,mean_vehicle_count_std
Best Offset Fixed-Time 45s,169.782,1.275,7.969,0.007,14.416,0.067,64.542,0.066
QMIX V2,177.291,1.04,7.914,0.014,14.739,0.048,65.007,0.134
