distance,offset,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered
500,55,3600,86.855,118,514.731,4381.0,6.471,0.0,29.375,90,2778,2677,101,22
500,60,3600,85.135,108,424.825,1255.0,6.646,0.0,26.971,59,2800,2710,90,0
500,65,3600,73.284,88,271.577,880.0,7.635,0.0,18.121,43,2800,2729,71,0
500,70,3600,70.101,84,226.379,689.0,7.977,0.0,16.102,41,2800,2736,64,0
500,75,3600,70.922,87,238.529,846.0,7.872,0.0,16.999,44,2800,2738,62,0
500,80,3600,72.188,92,261.549,1005.0,7.717,0.0,18.257,52,2800,2739,61,0
500,85,3600,73.377,94,287.379,1157.0,7.579,0.0,19.409,54,2800,2741,59,0
500,90,3600,73.626,96,291.246,1329.0,7.546,0.0,19.569,56,2800,2742,58,0
750,0,3600,76.588,96,197.676,969.0,8.439,0.0,15.552,51,2800,2740,60,0
750,5,3600,77.08,96,207.482,864.0,8.384,0.0,16.014,49,2800,2736,64,0
750,10,3600,77.384,97,218.486,786.0,8.355,0.0,16.353,46,2800,2734,66,0
750,15,3600,77.652,95,233.946,770.0,8.331,0.0,16.811,42,2800,2731,69,0
750,20,3600,77.567,94,242.19,828.0,8.345,0.0,16.871,41,2800,2729,71,0
750,25,3600,78.222,93,259.631,873.0,8.268,0.0,17.522,43,2800,2730,70,0
750,30,3600,79.215,97,281.292,853.0,8.158,0.0,18.381,40,2800,2725,75,0
750,35,3600,84.979,102,366.174,998.0,7.61,0.0,22.806,43,2800,2719,81,0
750,40,3600,83.967,101,356.374,1060.0,7.697,0.0,22.085,43,2800,2717,83,0
750,45,3600,83.701,104,352.535,1154.0,7.74,0.0,21.674,45,2800,2722,78,0
750,50,3600,80.732,99,313.406,1021.0,8.027,0.0,19.581,42,2800,2725,75,0
750,55,3600,78.597,95,281.563,880.0,8.233,0.0,17.992,40,2800,2730,70,0
750,60,3600,77.756,92,264.437,794.0,8.33,0.0,17.224,41,2800,2741,59,0
750,65,3600,75.944,93,229.697,734.0,8.529,0.0,15.689,38,2800,2738,62,0
750,70,3600,76.323,91,230.68,746.0,8.491,0.0,15.893,39,2800,2737,63,0
750,75,3600,76.671,93,224.794,725.0,8.449,0.0,15.953,39,2800,2738,62,0
750,80,3600,76.257,94,206.936,770.0,8.489,0.0,15.444,43,2800,2739,61,0
750,85,3600,76.412,96,200.504,880.0,8.467,0.0,15.434,51,2800,2741,59,0
750,90,3600,76.588,96,197.676,969.0,8.439,0.0,15.552,51,2800,2740,60,0
1000,0,3600,80.451,100,185.13,781.0,9.122,0.0,13.333,37,2800,2733,67,0
1000,5,3600,81.112,101,192.275,741.0,9.049,0.0,13.709,36,2800,2733,67,0
1000,10,3600,84.404,105,240.558,915.0,8.694,0.0,16.357,39,2800,2723,77,0
1000,15,3600,88.769,111,293.398,979.0,8.261,0.0,19.609,42,2800,2710,90,0
1000,20,3600,95.324,119,380.188,1173.0,7.711,0.0,24.641,51,2800,2697,103,0
1000,25,3600,87.541,107,277.46,891.0,8.366,0.0,18.809,43,2800,2711,89,0
1000,30,3600,86.773,103,272.558,794.0,8.434,0.0,18.477,38,2800,2716,84,0
1000,35,3600,86.905,105,283.935,796.0,8.421,0.0,18.924,40,2800,2720,80,0
1000,40,3600,86.933,101,292.41,862.0,8.42,0.0,19.22,39,2800,2721,79,0
1000,45,3600,86.704,101,292.15,936.0,8.449,0.0,19.181,41,2800,2727,73,0
1000,50,3600,86.588,103,292.587,911.0,8.462,0.0,19.121,37,2800,2726,74,0
1000,55,3600,86.794,107,292.506,873.0,8.445,0.0,19.154,37,2800,2733,67,0
1000,60,3600,85.347,102,264.055,740.0,8.59,0.0,17.823,36,2800,2735,65,0
1000,65,3600,84.831,104,250.639,787.0,8.648,0.0,17.202,38,2800,2730,70,0
1000,70,3600,87.338,106,286.742,846.0,8.406,0.0,19.192,40,2800,2724,76,0
1000,75,3600,88.339,113,300.457,1041.0,8.325,0.0,19.872,43,2800,2716,84,0
1000,80,3600,83.216,104,229.099,817.0,8.824,0.0,15.702,38,2800,2725,75,0
1000,85,3600,80.384,100,185.0,722.0,9.132,0.0,13.309,38,2800,2731,69,0
1000,90,3600,80.451,100,185.13,781.0,9.122,0.0,13.333,37,2800,2733,67,0
