distance_m,best_offset_s,offset_waiting,qmix_waiting_single_seed,mp_waiting_mean,mp_waiting_std,G_QMIX_pct,G_MP_pct,mp_buffered_ratio,mp_capacity_regime,qmix_dchf_regime,mp_dchf_regime,best_controller
100,25.0,217.763,235.912,71.523,3.378,8.334,-67.156,0.0,Unconstrained,Marginal,Effective,Max Pressure
200,45.0,195.628,197.619,105.812,3.443,1.018,-45.912,0.0,Unconstrained,Effective,Effective,Max Pressure
300,45.0,175.672,180.821,148.995,8.777,2.931,-15.186,0.0,Unconstrained,Effective,Effective,Max Pressure
500,70.0,226.379,335.613,237.26,12.658,48.253,4.807,0.0,Unconstrained,Outside horizon,Effective,Optimized offset
750,0.0,197.676,360.508,458.735,13.934,82.373,132.064,0.0,Unconstrained,Outside horizon,Outside horizon,Optimized offset
1000,85.0,185.0,294.072,616.177,22.438,58.958,233.069,0.0,Unconstrained,Outside horizon,Outside horizon,Optimized offset
