distance,offset_wt_mean,mp_wt_10s_mean,mp_wt_10s_std,mp_wt_20s_mean,mp_wt_20s_std,G_MP_10s_mean,G_MP_10s_ci,G_MP_20s_mean,G_MP_20s_ci,gap_change_pts
750,196.522,458.735,13.934,503.504,19.329,133.447,"[127.55, 139.34]",156.202,"[149.46, 164.68]",22.755
1000,181.55,616.177,22.438,766.838,48.431,239.362,"[232.57, 246.16]",322.339,"[302.24, 339.72]",82.977
