distance,best_offset,best_offset_waiting_time,qmix_waiting_time,qmix_gap_vs_best_offset_percent,best_offset_speed,qmix_speed,best_offset_queue,qmix_queue
100,25.0,217.763,235.912,8.334,7.238,6.847,15.231,17.715
200,45.0,195.628,197.619,1.018,7.458,7.365,15.443,15.496
300,45.0,175.672,180.821,2.931,7.871,7.839,13.616,13.784
500,70.0,226.379,335.613,48.253,8.055,7.399,15.823,20.974
750,0.0,197.676,360.508,82.373,8.529,7.706,15.434,21.974
1000,85.0,185.0,294.072,58.958,9.132,8.422,13.309,19.288
