distance,best_waiting_offset,best_waiting_time,waiting_at_best_speed_offset,best_speed_offset,best_speed,best_queue_offset,best_queue,departed_at_best_waiting,buffered_at_best_waiting,max_queue_at_best_waiting
100,25.0,217.763,223.735,20.0,7.238,20.0,15.231,2800.0,0.0,32.0
200,45.0,195.628,231.074,20.0,7.458,40.0,15.443,2800.0,0.0,36.0
300,45.0,175.672,175.672,45.0,7.871,45.0,13.616,2800.0,0.0,34.0
500,70.0,226.379,229.135,25.0,8.055,25.0,15.823,2800.0,0.0,41.0
750,0.0,197.676,229.697,65.0,8.529,85.0,15.434,2800.0,0.0,51.0
1000,85.0,185.0,185.0,85.0,9.132,85.0,13.309,2800.0,0.0,38.0
