controller,offset_j2,offset_j3,mean_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
Simultaneous Fixed-Time,0.0,0.0,418.791,7.513,26.347,69.0,3400.0,3303.0,97.0,0.0,0.0
Best Offset Pattern,45.0,0.0,227.171,7.671,21.192,70.0,3400.0,3315.0,85.0,0.0,0.0
QMIX 3 Agents,,,237.292,7.633,21.599,68.0,3400.0,3311.0,89.0,0.0,0.0
