N,distance_m,demand,multiplier,offset,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,mean_vehicle_count,max_vehicle_count,total_expected,total_departed,total_arrived,buffered_ratio,capacity_regime,total_teleports
5,200,high,1.5,25,1198.178,1933.0,6.399,66.695,93,190.701,215,6900.0,6900,6716,0.0,Unconstrained,0
5,200,high,1.5,30,1049.533,2109.0,6.338,66.545,102,192.607,214,6900.0,6900,6719,0.0,Unconstrained,0
5,200,high,1.5,35,903.569,1455.0,6.35,66.042,89,192.39,215,6900.0,6900,6708,0.0,Unconstrained,0
5,200,high,1.5,40,815.076,1436.0,6.322,65.764,117,192.424,218,6900.0,6900,6714,0.0,Unconstrained,0
5,200,high,1.5,45,802.172,2608.0,6.227,66.619,158,193.071,228,6900.0,6900,6721,0.0,Unconstrained,0
5,200,high,1.5,50,825.466,1472.0,6.316,66.408,116,192.564,220,6900.0,6900,6710,0.0,Unconstrained,0
5,200,high,1.5,55,904.068,1466.0,6.349,66.184,89,192.406,212,6900.0,6900,6710,0.0,Unconstrained,0
5,200,high,1.5,60,1042.986,2059.0,6.328,66.455,102,192.909,215,6900.0,6900,6711,0.0,Unconstrained,0
5,200,high,1.5,65,1190.994,1889.0,6.39,66.621,90,190.974,219,6900.0,6900,6712,0.0,Unconstrained,0
5,200,high,1.5,70,1039.703,1710.0,6.962,58.243,90,175.524,205,6900.0,6900,6738,0.0,Unconstrained,0
5,200,high,1.5,75,854.045,1783.0,7.571,49.862,81,161.7,187,6900.0,6900,6753,0.0,Unconstrained,0
5,200,high,1.5,80,796.492,1491.0,7.687,47.756,79,158.74,188,6900.0,6900,6745,0.0,Unconstrained,0
5,200,high,1.5,85,1025.853,2687.0,7.217,56.561,102,168.739,204,6900.0,6900,6728,0.0,Unconstrained,0
5,200,high,1.5,90,1011.147,3745.0,7.202,55.851,112,167.891,215,6900.0,6900,6721,0.0,Unconstrained,0
5,200,saturation,2.0,0,1507.455,5180.0,6.844,81.913,156,235.379,294,9200.0,9200,8945,0.0,Unconstrained,0
5,200,saturation,2.0,5,1445.424,3707.0,6.967,79.404,145,232.786,289,9200.0,9200,8938,0.0,Unconstrained,0
5,200,saturation,2.0,10,1385.165,2465.0,7.046,77.444,127,230.852,272,9200.0,9200,8963,0.0,Unconstrained,0
5,200,saturation,2.0,15,1402.879,2568.0,6.991,78.388,123,233.233,270,9200.0,9200,8961,0.0,Unconstrained,0
5,200,saturation,2.0,20,1475.236,2126.0,6.694,82.712,117,243.158,281,9200.0,9200,8950,0.0,Unconstrained,0
5,200,saturation,2.0,25,1577.088,2572.0,6.276,89.434,124,259.178,291,9200.0,9200,8944,0.0,Unconstrained,0
5,200,saturation,2.0,30,1372.575,2526.0,6.222,87.764,128,261.321,287,9200.0,9200,8945,0.0,Unconstrained,0
5,200,saturation,2.0,35,1184.955,1777.0,6.227,87.53,116,261.286,286,9200.0,9200,8938,0.0,Unconstrained,0
5,200,saturation,2.0,40,1077.127,1767.0,6.196,87.966,139,261.855,292,9200.0,9200,8943,0.0,Unconstrained,0
5,200,saturation,2.0,45,1062.959,3063.0,6.131,88.958,190,262.988,307,9200.0,9200,8941,0.0,Unconstrained,0
5,200,saturation,2.0,50,1060.335,1756.0,6.216,87.166,138,261.013,293,9200.0,9200,8941,0.0,Unconstrained,0
5,200,saturation,2.0,55,1174.658,1754.0,6.231,87.292,114,261.203,285,9200.0,9200,8938,0.0,Unconstrained,0
5,200,saturation,2.0,60,1358.629,2516.0,6.221,87.389,128,261.233,289,9200.0,9200,8940,0.0,Unconstrained,0
5,200,saturation,2.0,65,1574.86,2514.0,6.272,89.455,121,259.271,290,9200.0,9200,8933,0.0,Unconstrained,0
5,200,saturation,2.0,70,1481.958,2185.0,6.678,83.019,119,244.028,283,9200.0,9200,8972,0.0,Unconstrained,0
5,200,saturation,2.0,75,1400.547,2634.0,7.013,78.214,126,232.822,268,9200.0,9200,8980,0.0,Unconstrained,0
5,200,saturation,2.0,80,1398.384,2493.0,7.047,77.796,129,231.028,272,9200.0,9200,8971,0.0,Unconstrained,0
5,200,saturation,2.0,85,1443.558,3690.0,6.965,79.364,145,232.426,280,9200.0,9200,8947,0.0,Unconstrained,0
5,200,saturation,2.0,90,1507.455,5180.0,6.844,81.913,156,235.379,294,9200.0,9200,8945,0.0,Unconstrained,0
5,300,low,0.5,0,392.117,1460.0,8.132,21.994,45,74.529,97,2300.0,2300,2226,0.0,Unconstrained,0
5,300,low,0.5,5,273.804,877.0,8.828,17.037,41,69.033,86,2300.0,2300,2229,0.0,Unconstrained,0
5,300,low,0.5,10,231.833,571.0,9.131,14.778,32,66.593,85,2300.0,2300,2234,0.0,Unconstrained,0
5,300,low,0.5,15,331.386,862.0,8.627,18.344,36,70.455,90,2300.0,2300,2225,0.0,Unconstrained,0
5,300,low,0.5,20,392.872,704.0,8.24,21.306,32,73.852,89,2300.0,2300,2229,0.0,Unconstrained,0
5,300,low,0.5,25,333.555,675.0,8.36,19.945,33,72.728,84,2300.0,2300,2230,0.0,Unconstrained,0
5,300,low,0.5,30,272.484,629.0,8.428,18.029,32,72.121,86,2300.0,2300,2233,0.0,Unconstrained,0
5,300,low,0.5,35,224.185,518.0,8.455,17.2,30,71.9,84,2300.0,2300,2232,0.0,Unconstrained,0
5,300,low,0.5,40,193.003,441.0,8.453,16.835,36,71.631,86,2300.0,2300,2233,0.0,Unconstrained,0
5,300,low,0.5,45,224.46,904.0,8.085,18.605,53,73.714,93,2300.0,2300,2235,0.0,Unconstrained,0
5,300,low,0.5,50,191.324,453.0,8.441,16.869,37,71.723,87,2300.0,2300,2233,0.0,Unconstrained,0
5,300,low,0.5,55,216.644,453.0,8.497,16.837,30,71.565,85,2300.0,2300,2230,0.0,Unconstrained,0
5,300,low,0.5,60,265.297,649.0,8.441,17.73,33,71.969,83,2300.0,2300,2230,0.0,Unconstrained,0
5,300,low,0.5,65,311.144,641.0,8.505,18.763,30,71.557,86,2300.0,2300,2233,0.0,Unconstrained,0
5,300,low,0.5,70,407.821,682.0,8.124,22.254,34,74.875,89,2300.0,2300,2232,0.0,Unconstrained,0
5,300,low,0.5,75,345.767,914.0,8.543,19.002,35,71.258,90,2300.0,2300,2232,0.0,Unconstrained,0
5,300,low,0.5,80,244.94,657.0,9.041,15.344,31,67.132,83,2300.0,2300,2238,0.0,Unconstrained,0
5,300,low,0.5,85,260.734,803.0,8.888,16.486,39,68.327,86,2300.0,2300,2235,0.0,Unconstrained,0
5,300,low,0.5,90,392.117,1460.0,8.132,21.994,45,74.529,97,2300.0,2300,2226,0.0,Unconstrained,0
5,300,medium,1.0,0,700.663,2766.0,8.196,41.254,90,147.883,182,4600.0,4600,4450,0.0,Unconstrained,0
5,300,medium,1.0,5,612.924,1757.0,8.482,37.026,86,143.154,173,4600.0,4600,4445,0.0,Unconstrained,0
5,300,medium,1.0,10,671.248,1699.0,8.419,38.387,78,144.649,178,4600.0,4600,4453,0.0,Unconstrained,0
5,300,medium,1.0,15,819.454,1630.0,8.007,44.586,74,151.899,178,4600.0,4600,4439,0.0,Unconstrained,0
5,300,medium,1.0,20,763.263,1203.0,8.068,43.026,62,150.625,173,4600.0,4600,4447,0.0,Unconstrained,0
5,300,medium,1.0,25,616.688,1166.0,8.301,38.392,57,146.337,167,4600.0,4600,4453,0.0,Unconstrained,0
5,300,medium,1.0,30,501.589,1142.0,8.354,34.579,58,145.519,165,4600.0,4600,4461,0.0,Unconstrained,0
5,300,medium,1.0,35,416.299,824.0,8.343,32.653,52,145.628,165,4600.0,4600,4458,0.0,Unconstrained,0
5,300,medium,1.0,40,362.068,718.0,8.321,32.212,64,145.441,165,4600.0,4600,4457,0.0,Unconstrained,0
5,300,medium,1.0,45,370.414,1449.0,8.158,33.436,104,146.9,175,4600.0,4600,4466,0.0,Unconstrained,0
5,300,medium,1.0,50,367.773,719.0,8.292,32.581,63,145.937,167,4600.0,4600,4460,0.0,Unconstrained,0
5,300,medium,1.0,55,414.927,819.0,8.342,32.583,50,145.676,163,4600.0,4600,4461,0.0,Unconstrained,0
5,300,medium,1.0,60,509.142,1155.0,8.332,34.952,58,145.819,163,4600.0,4600,4455,0.0,Unconstrained,0
5,300,medium,1.0,65,603.932,1132.0,8.338,37.839,58,145.67,165,4600.0,4600,4458,0.0,Unconstrained,0
5,300,medium,1.0,70,766.848,1196.0,8.054,43.212,61,150.888,177,4600.0,4600,4458,0.0,Unconstrained,0
5,300,medium,1.0,75,834.976,1664.0,7.972,45.123,75,152.601,182,4600.0,4600,4457,0.0,Unconstrained,0
5,300,medium,1.0,80,686.684,1531.0,8.373,39.015,73,145.158,175,4600.0,4600,4462,0.0,Unconstrained,0
5,300,medium,1.0,85,603.22,1831.0,8.519,36.526,86,142.415,170,4600.0,4600,4459,0.0,Unconstrained,0
5,300,medium,1.0,90,700.663,2766.0,8.196,41.254,90,147.883,182,4600.0,4600,4450,0.0,Unconstrained,0
5,300,high,1.5,0,1083.939,4207.0,8.073,63.275,137,225.1,272,6900.0,6900,6671,0.0,Unconstrained,0
5,300,high,1.5,5,1121.488,3239.0,8.041,64.033,141,226.628,265,6900.0,6900,6658,0.0,Unconstrained,0
5,300,high,1.5,10,1247.987,2639.0,7.871,68.69,128,232.163,281,6900.0,6900,6652,0.0,Unconstrained,0
5,300,high,1.5,15,1323.942,2330.0,7.694,72.207,112,237.141,269,6900.0,6900,6657,0.0,Unconstrained,0
5,300,high,1.5,20,1168.901,1748.0,7.864,66.843,89,231.671,263,6900.0,6900,6660,0.0,Unconstrained,0
5,300,high,1.5,25,905.564,1599.0,8.178,57.732,82,222.69,254,6900.0,6900,6680,0.0,Unconstrained,0
5,300,high,1.5,30,755.596,1570.0,8.195,52.832,85,222.428,246,6900.0,6900,6678,0.0,Unconstrained,0
5,300,high,1.5,35,616.371,1118.0,8.209,48.491,71,221.929,245,6900.0,6900,6681,0.0,Unconstrained,0
5,300,high,1.5,40,536.292,970.0,8.174,47.478,83,222.181,251,6900.0,6900,6677,0.0,Unconstrained,0
5,300,high,1.5,45,515.301,1865.0,8.109,47.849,129,222.565,257,6900.0,6900,6684,0.0,Unconstrained,0
5,300,high,1.5,50,532.568,970.0,8.187,47.571,82,221.642,250,6900.0,6900,6681,0.0,Unconstrained,0
5,300,high,1.5,55,612.024,1097.0,8.213,48.251,70,221.792,244,6900.0,6900,6682,0.0,Unconstrained,0
5,300,high,1.5,60,750.281,1564.0,8.189,52.619,85,222.47,246,6900.0,6900,6677,0.0,Unconstrained,0
5,300,high,1.5,65,891.0,1595.0,8.191,57.235,81,222.34,251,6900.0,6900,6680,0.0,Unconstrained,0
5,300,high,1.5,70,1158.066,1697.0,7.896,66.312,89,230.853,268,6900.0,6900,6667,0.0,Unconstrained,0
5,300,high,1.5,75,1321.929,2454.0,7.713,72.031,115,236.818,270,6900.0,6900,6671,0.0,Unconstrained,0
5,300,high,1.5,80,1269.066,2709.0,7.84,69.422,130,233.142,275,6900.0,6900,6678,0.0,Unconstrained,0
5,300,high,1.5,85,1160.302,3280.0,7.979,65.512,141,228.313,270,6900.0,6900,6673,0.0,Unconstrained,0
5,300,high,1.5,90,1083.939,4207.0,8.073,63.275,137,225.1,272,6900.0,6900,6671,0.0,Unconstrained,0
5,300,saturation,2.0,0,1728.154,6474.0,7.62,95.994,207,317.935,381,9200.0,9200,8863,0.0,Unconstrained,0
5,300,saturation,2.0,5,1834.842,5017.0,7.527,100.038,203,322.872,376,9200.0,9200,8853,0.0,Unconstrained,0
5,300,saturation,2.0,10,1864.245,3719.0,7.475,101.361,173,325.643,375,9200.0,9200,8844,0.0,Unconstrained,0
5,300,saturation,2.0,15,1831.939,2975.0,7.45,100.757,151,326.352,369,9200.0,9200,8857,0.0,Unconstrained,0
5,300,saturation,2.0,20,1603.118,2257.0,7.623,92.909,117,318.619,359,9200.0,9200,8874,0.0,Unconstrained,0
5,300,saturation,2.0,25,1224.561,2195.0,7.961,79.144,116,304.932,346,9200.0,9200,8890,0.0,Unconstrained,0
5,300,saturation,2.0,30,982.566,1860.0,8.071,70.282,114,300.893,329,9200.0,9200,8892,0.0,Unconstrained,0
5,300,saturation,2.0,35,826.831,1329.0,8.056,64.989,87,301.303,324,9200.0,9200,8896,0.0,Unconstrained,0
5,300,saturation,2.0,40,707.924,1297.0,8.051,62.359,100,300.781,334,9200.0,9200,8888,0.0,Unconstrained,0
5,300,saturation,2.0,45,673.879,2371.0,8.012,62.337,148,301.066,342,9200.0,9200,8901,0.0,Unconstrained,0
5,300,saturation,2.0,50,717.659,1290.0,8.024,62.626,100,301.658,334,9200.0,9200,8898,0.0,Unconstrained,0
5,300,saturation,2.0,55,814.189,1383.0,8.074,64.358,89,300.633,325,9200.0,9200,8899,0.0,Unconstrained,0
5,300,saturation,2.0,60,989.763,1938.0,8.063,70.594,113,300.968,330,9200.0,9200,8888,0.0,Unconstrained,0
5,300,saturation,2.0,65,1201.973,2187.0,8.009,78.151,114,302.807,338,9200.0,9200,8880,0.0,Unconstrained,0
5,300,saturation,2.0,70,1580.237,2210.0,7.643,92.05,115,317.694,357,9200.0,9200,8870,0.0,Unconstrained,0
5,300,saturation,2.0,75,1822.262,2955.0,7.462,100.334,153,325.896,371,9200.0,9200,8872,0.0,Unconstrained,0
5,300,saturation,2.0,80,1886.654,3601.0,7.463,102.169,171,326.327,375,9200.0,9200,8878,0.0,Unconstrained,0
5,300,saturation,2.0,85,1815.169,4929.0,7.563,99.072,200,321.474,373,9200.0,9200,8871,0.0,Unconstrained,0
5,300,saturation,2.0,90,1728.154,6474.0,7.62,95.994,207,317.935,381,9200.0,9200,8863,0.0,Unconstrained,0
5,500,low,0.5,0,479.818,2511.0,9.06,26.14,74,111.355,134,2300.0,2300,2184,0.0,Unconstrained,0
5,500,low,0.5,5,452.104,1525.0,9.106,25.688,63,110.604,133,2300.0,2300,2195,0.0,Unconstrained,0
5,500,low,0.5,10,378.136,887.0,9.291,23.643,46,108.232,128,2300.0,2300,2188,0.0,Unconstrained,0
5,500,low,0.5,15,355.79,702.0,9.345,22.837,41,107.445,124,2300.0,2300,2192,0.0,Unconstrained,0
5,500,low,0.5,20,286.85,690.0,9.647,19.651,33,104.015,123,2300.0,2300,2195,0.0,Unconstrained,0
5,500,low,0.5,25,249.328,566.0,9.863,17.347,31,101.554,115,2300.0,2300,2201,0.0,Unconstrained,0
5,500,low,0.5,30,193.383,688.0,10.221,14.104,33,98.189,115,2300.0,2300,2200,0.0,Unconstrained,0
5,500,low,0.5,35,136.364,508.0,10.635,10.516,25,94.351,113,2300.0,2300,2204,0.0,Unconstrained,0
5,500,low,0.5,40,113.504,322.0,10.884,8.377,17,92.203,109,2300.0,2300,2205,0.0,Unconstrained,0
5,500,low,0.5,45,82.248,423.0,11.108,6.158,28,90.359,104,2300.0,2300,2210,0.0,Unconstrained,0
5,500,low,0.5,50,110.186,310.0,10.918,8.17,17,91.879,107,2300.0,2300,2213,0.0,Unconstrained,0
5,500,low,0.5,55,137.082,336.0,10.637,10.585,23,94.335,108,2300.0,2300,2209,0.0,Unconstrained,0
5,500,low,0.5,60,180.772,531.0,10.303,13.497,34,97.41,113,2300.0,2300,2207,0.0,Unconstrained,0
5,500,low,0.5,65,231.333,519.0,9.948,16.653,32,100.846,118,2300.0,2300,2198,0.0,Unconstrained,0
5,500,low,0.5,70,299.4,719.0,9.6,19.941,33,104.328,121,2300.0,2300,2196,0.0,Unconstrained,0
5,500,low,0.5,75,367.697,719.0,9.301,23.307,41,107.889,124,2300.0,2300,2195,0.0,Unconstrained,0
5,500,low,0.5,80,369.256,840.0,9.321,23.276,50,107.887,131,2300.0,2300,2198,0.0,Unconstrained,0
5,500,low,0.5,85,430.534,1606.0,9.188,24.887,67,109.646,133,2300.0,2300,2195,0.0,Unconstrained,0
5,500,low,0.5,90,479.818,2511.0,9.06,26.14,74,111.355,134,2300.0,2300,2184,0.0,Unconstrained,0
5,500,medium,1.0,0,1142.759,4896.0,8.529,62.18,157,236.571,283,4600.0,4600,4361,0.0,Unconstrained,0
