finding,value
Best manually optimized d23,500 m
Best offset pattern at best d23,"J2=45 s, J3=0 s"
Best offset waiting time,194.986
Effective QMIX spatial zone,"300, 500 m"
Marginal QMIX spatial zone,750 m
Outside QMIX coordination horizon,"100, 200, 1000 m"
