controller,mean_total_waiting_time_mean,mean_total_waiting_time_std,mean_speed_mean,mean_speed_std,mean_total_queue_mean,mean_total_queue_std,mean_vehicle_count_mean,mean_vehicle_count_std
Best Offset Fixed-Time 45s,173.921,1.025,7.935,0.013,14.606,0.074,64.822,0.125
QMIX V2,443.355,2.163,5.338,0.03,30.677,0.129,63.125,0.315
