step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,1.94574372425753,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,4.088635092492526,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,6.140926236185867,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,7.060180641145314,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,8.856042604943339,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,9.326715721622808,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,10.140798365096614,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,9.534587183400724,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,10.213429378032627,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,10.815123302016142,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,10.484251110029314,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,7.3949326326011375,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,8.362792989259523,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,9.299931484459528,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,10.308018224828505,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,9.739033952271985,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,10.07799303897369,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,10.058594020276475,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,0.0,9.975677695378609,0,2,2,4.0,6.0,4.0,4.0
20,main_green,main_green,18,0.0,9.002725937874345,1,2,2,8.0,10.0,8.0,8.0
21,main_green,main_green,19,2.0,8.666400566523563,3,2,2,8.0,10.0,8.0,8.0
22,main_green,main_green,19,6.0,9.126774215966526,4,2,2,8.0,10.0,8.0,8.0
23,main_green,main_green,19,10.0,9.376184491301734,4,2,2,8.0,10.0,8.0,8.0
