distance,decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,reward,done
100,2,85,0,1,56,777.0,3.868,29,0,2,-777.0,False
100,2,86,0,1,56,806.0,4.064,29,0,2,-806.0,False
100,2,87,0,1,61,837.0,4.009,36,0,2,-837.0,False
100,2,88,0,1,61,868.0,4.213,31,0,2,-868.0,False
100,2,89,0,1,61,900.0,4.611,32,0,2,-900.0,False
100,2,90,0,1,63,934.0,4.695,36,0,2,-934.0,False
100,2,91,0,1,63,968.0,4.992,34,0,2,-968.0,False
100,3,92,1,0,62,1002.0,5.038,34,1,3,0.0,False
100,3,93,1,0,63,1036.0,5.11,35,1,3,0.0,False
100,3,94,1,0,63,1070.0,5.275,34,1,3,0.0,False
100,3,95,1,0,63,735.0,5.391,27,2,0,-735.0,False
100,3,96,1,0,62,555.0,5.678,21,2,0,-555.0,False
100,3,97,1,0,63,405.0,5.764,18,2,0,-405.0,False
100,3,98,1,0,63,284.0,5.986,13,2,0,-284.0,False
100,3,99,1,0,64,183.0,6.21,11,2,0,-183.0,False
100,3,100,1,0,64,118.0,6.43,9,2,0,-118.0,False
100,3,101,1,0,64,77.0,6.517,8,2,0,-77.0,False
100,3,102,1,0,64,48.0,6.626,8,2,0,-48.0,False
100,3,103,1,0,64,30.0,6.758,8,2,0,-30.0,False
100,3,104,1,0,70,32.0,6.147,14,2,0,-32.0,False
100,3,105,1,0,70,43.0,6.191,10,2,0,-43.0,False
100,3,106,1,0,69,59.0,6.354,13,2,0,-59.0,False
100,3,107,1,0,70,75.0,6.484,14,2,0,-75.0,False
100,3,108,1,0,71,87.0,6.715,16,2,0,-87.0,False
100,3,109,1,0,71,99.0,6.988,17,2,0,-99.0,False
100,3,110,1,0,71,118.0,7.063,19,2,0,-118.0,False
100,3,111,1,0,72,138.0,7.064,20,2,0,-138.0,False
100,3,112,1,0,72,159.0,7.23,20,2,0,-159.0,False
100,3,113,1,0,73,181.0,7.221,22,2,0,-181.0,False
100,3,114,1,0,73,188.0,7.137,24,2,0,-188.0,False
100,3,115,1,0,71,197.0,7.072,23,2,0,-197.0,False
100,3,116,1,0,69,206.0,6.968,23,2,0,-206.0,False
100,3,117,1,0,69,204.0,7.071,22,2,0,-204.0,False
100,3,118,1,0,68,206.0,7.255,19,2,0,-206.0,False
100,3,119,1,0,69,206.0,7.362,18,2,0,-206.0,False
100,3,120,1,0,69,211.0,7.444,17,2,0,-211.0,False
100,3,121,1,0,67,217.0,7.206,18,2,0,-217.0,False
100,3,122,1,0,70,232.0,6.662,21,2,0,-232.0,False
100,3,123,1,0,68,248.0,6.589,17,2,0,-248.0,False
100,3,124,1,0,68,266.0,6.744,18,2,0,-266.0,False
100,3,125,1,0,67,286.0,6.817,20,2,0,-286.0,False
100,3,126,1,0,67,306.0,6.914,21,2,0,-306.0,False
100,3,127,1,0,68,328.0,7.076,23,2,0,-328.0,False
100,3,128,1,0,67,351.0,7.142,23,2,0,-351.0,False
100,3,129,1,0,66,375.0,7.014,24,2,0,-375.0,False
100,3,130,1,0,64,399.0,6.651,24,2,0,-399.0,False
100,3,131,1,0,61,423.0,6.079,24,2,0,-423.0,False
100,3,132,1,0,61,449.0,5.837,26,2,0,-449.0,False
100,3,133,1,0,59,476.0,5.186,28,2,0,-476.0,False
100,3,134,1,0,59,505.0,4.849,30,2,0,-505.0,False
100,3,135,1,0,59,535.0,4.648,30,2,0,-535.0,False
100,3,136,1,0,60,566.0,4.445,32,2,0,-566.0,False
100,4,137,0,1,57,600.0,4.042,34,3,1,0.0,False
100,4,138,0,1,56,635.0,3.854,35,3,1,0.0,False
100,4,139,0,1,62,672.0,3.321,43,3,1,0.0,False
100,4,140,0,1,61,421.0,3.379,29,0,2,-421.0,False
100,4,141,0,1,60,224.0,3.629,22,0,2,-224.0,False
100,4,142,0,1,62,159.0,3.98,20,0,2,-159.0,False
100,4,143,0,1,62,124.0,4.651,15,0,2,-124.0,False
100,4,144,0,1,62,96.0,5.323,14,0,2,-96.0,False
100,4,145,0,1,64,83.0,5.97,15,0,2,-83.0,False
100,4,146,0,1,64,74.0,6.669,13,0,2,-74.0,False
100,4,147,0,1,63,66.0,7.169,12,0,2,-66.0,False
100,4,148,0,1,64,56.0,7.544,11,0,2,-56.0,False
100,4,149,0,1,64,47.0,7.955,8,0,2,-47.0,False
100,4,150,0,1,64,49.0,8.127,9,0,2,-49.0,False
100,4,151,0,1,63,59.0,8.392,9,0,2,-59.0,False
100,4,152,0,1,63,69.0,8.724,9,0,2,-69.0,False
100,4,153,0,1,63,66.0,9.017,7,0,2,-66.0,False
100,4,154,0,1,62,71.0,9.333,7,0,2,-71.0,False
100,4,155,0,1,62,80.0,9.432,8,0,2,-80.0,False
100,4,156,0,1,68,89.0,8.519,14,0,2,-89.0,False
100,4,157,0,1,68,100.0,8.415,10,0,2,-100.0,False
100,4,158,0,1,67,112.0,8.237,11,0,2,-112.0,False
100,4,159,0,1,67,128.0,8.468,15,0,2,-128.0,False
100,4,160,0,1,66,142.0,8.566,14,0,2,-142.0,False
100,4,161,0,1,70,135.0,8.024,17,0,2,-135.0,False
100,4,162,0,1,69,149.0,8.102,13,0,2,-149.0,False
100,4,163,0,1,70,163.0,7.793,15,0,2,-163.0,False
100,4,164,0,1,74,157.0,7.492,19,0,2,-157.0,False
100,4,165,0,1,73,171.0,7.62,15,0,2,-171.0,False
100,4,166,0,1,70,187.0,7.653,16,0,2,-187.0,False
100,4,167,0,1,71,203.0,7.79,17,0,2,-203.0,False
100,4,168,0,1,69,220.0,7.946,17,0,2,-220.0,False
100,4,169,0,1,67,239.0,7.887,19,0,2,-239.0,False
100,4,170,0,1,68,258.0,7.983,21,0,2,-258.0,False
100,4,171,0,1,67,278.0,7.981,20,0,2,-278.0,False
100,4,172,0,1,64,298.0,7.76,20,0,2,-298.0,False
100,4,173,0,1,69,318.0,6.931,26,0,2,-318.0,False
100,4,174,0,1,68,340.0,6.759,22,0,2,-340.0,False
100,4,175,0,1,68,362.0,6.879,22,0,2,-362.0,False
100,4,176,0,1,68,386.0,6.776,25,0,2,-386.0,False
100,4,177,0,1,67,411.0,6.74,25,0,2,-411.0,False
100,4,178,0,1,67,436.0,6.721,25,0,2,-436.0,False
100,4,179,0,1,68,462.0,6.223,28,0,2,-462.0,False
100,4,180,0,1,68,489.0,6.175,27,0,2,-489.0,False
100,4,181,0,1,68,517.0,6.024,28,0,2,-517.0,False
100,5,182,1,0,66,546.0,5.784,29,1,3,0.0,False
100,5,183,1,0,65,577.0,5.759,31,1,3,0.0,False
100,5,184,1,0,63,609.0,5.266,33,1,3,0.0,False
100,5,185,1,0,63,359.0,5.462,26,2,0,-359.0,False
100,5,186,1,0,60,231.0,5.699,17,2,0,-231.0,False
100,5,187,1,0,60,145.0,6.176,12,2,0,-145.0,False
100,5,188,1,0,59,75.0,6.419,9,2,0,-75.0,False
100,5,189,1,0,57,26.0,6.535,7,2,0,-26.0,False
100,5,190,1,0,59,10.0,6.431,7,2,0,-10.0,False
100,5,191,1,0,60,13.0,6.773,4,2,0,-13.0,False
100,5,192,1,0,60,16.0,7.198,3,2,0,-16.0,False
100,5,193,1,0,61,21.0,7.56,5,2,0,-21.0,False
100,5,194,1,0,62,29.0,7.901,7,2,0,-29.0,False
100,5,195,1,0,62,35.0,8.099,6,2,0,-35.0,False
100,5,196,1,0,62,38.0,8.218,7,2,0,-38.0,False
100,5,197,1,0,63,46.0,8.013,8,2,0,-46.0,False
100,5,198,1,0,63,57.0,8.109,10,2,0,-57.0,False
100,5,199,1,0,63,69.0,8.151,11,2,0,-69.0,False
100,5,200,1,0,64,84.0,8.046,15,2,0,-84.0,False
100,5,201,1,0,65,101.0,7.863,17,2,0,-101.0,False
100,5,202,1,0,65,120.0,7.947,18,2,0,-120.0,False
100,5,203,1,0,64,139.0,7.81,18,2,0,-139.0,False
100,5,204,1,0,61,145.0,7.612,18,2,0,-145.0,False
100,5,205,1,0,61,153.0,7.6,17,2,0,-153.0,False
100,5,206,1,0,60,154.0,7.736,16,2,0,-154.0,False
100,5,207,1,0,66,163.0,7.046,22,2,0,-163.0,False
100,5,208,1,0,64,180.0,7.079,17,2,0,-180.0,False
100,5,209,1,0,64,197.0,7.308,17,2,0,-197.0,False
100,5,210,1,0,63,215.0,7.142,19,2,0,-215.0,False
100,5,211,1,0,62,233.0,7.266,18,2,0,-233.0,False
100,5,212,1,0,62,253.0,7.253,20,2,0,-253.0,False
100,5,213,1,0,62,274.0,7.017,23,2,0,-274.0,False
100,5,214,1,0,61,296.0,6.847,22,2,0,-296.0,False
100,5,215,1,0,59,318.0,6.489,22,2,0,-318.0,False
100,5,216,1,0,61,342.0,6.101,26,2,0,-342.0,False
100,5,217,1,0,59,366.0,5.978,24,2,0,-366.0,False
100,5,218,1,0,59,392.0,6.061,26,2,0,-392.0,False
100,5,219,1,0,58,418.0,5.907,27,2,0,-418.0,False
100,5,220,1,0,58,445.0,6.08,27,2,0,-445.0,False
100,5,221,1,0,54,472.0,5.585,27,2,0,-472.0,False
100,5,222,1,0,54,500.0,5.556,29,2,0,-500.0,False
100,5,223,1,0,55,528.0,5.509,29,2,0,-528.0,False
100,5,224,1,0,56,556.0,4.607,32,2,0,-556.0,False
100,5,225,1,0,56,584.0,4.463,28,2,0,-584.0,False
100,5,226,1,0,55,612.0,4.122,29,2,0,-612.0,False
100,6,227,0,1,55,641.0,4.309,29,3,1,0.0,False
100,6,228,0,1,54,672.0,4.384,31,3,1,0.0,False
100,6,229,0,1,55,705.0,4.378,34,3,1,0.0,False
100,6,230,0,1,55,449.0,4.481,26,0,2,-449.0,False
100,6,231,0,1,54,321.0,4.761,18,0,2,-321.0,False
100,6,232,0,1,54,228.0,5.132,15,0,2,-228.0,False
100,6,233,0,1,54,166.0,5.657,12,0,2,-166.0,False
100,6,234,0,1,54,125.0,6.186,9,0,2,-125.0,False
100,6,235,0,1,53,93.0,6.773,8,0,2,-93.0,False
100,6,236,0,1,54,60.0,7.412,8,0,2,-60.0,False
100,6,237,0,1,55,47.0,7.829,6,0,2,-47.0,False
100,6,238,0,1,55,22.0,8.367,3,0,2,-22.0,False
100,6,239,0,1,55,14.0,8.616,2,0,2,-14.0,False
100,6,240,0,1,54,11.0,8.974,3,0,2,-11.0,False
100,6,241,0,1,58,13.0,8.241,7,0,2,-13.0,False
100,6,242,0,1,59,17.0,8.17,4,0,2,-17.0,False
100,6,243,0,1,59,21.0,8.431,4,0,2,-21.0,False
100,6,244,0,1,64,27.0,8.108,10,0,2,-27.0,False
100,6,245,0,1,65,34.0,8.308,7,0,2,-34.0,False
100,6,246,0,1,65,43.0,8.433,8,0,2,-43.0,False
100,6,247,0,1,70,54.0,8.12,15,0,2,-54.0,False
100,6,248,0,1,70,67.0,8.309,13,0,2,-67.0,False
100,6,249,0,1,68,81.0,8.529,13,0,2,-81.0,False
100,6,250,0,1,67,80.0,8.572,12,0,2,-80.0,False
100,6,251,0,1,68,89.0,8.804,12,0,2,-89.0,False
100,6,252,0,1,68,86.0,8.832,11,0,2,-86.0,False
100,6,253,0,1,69,98.0,8.85,13,0,2,-98.0,False
100,6,254,0,1,69,110.0,8.974,12,0,2,-110.0,False
100,6,255,0,1,69,122.0,9.094,12,0,2,-122.0,False
100,6,256,0,1,66,136.0,8.992,14,0,2,-136.0,False
100,6,257,0,1,64,152.0,8.98,16,0,2,-152.0,False
100,6,258,0,1,62,168.0,8.768,16,0,2,-168.0,False
100,6,259,0,1,68,184.0,7.685,22,0,2,-184.0,False
100,6,260,0,1,67,200.0,7.461,16,0,2,-200.0,False
100,6,261,0,1,66,218.0,7.335,18,0,2,-218.0,False
100,6,262,0,1,64,237.0,6.998,19,0,2,-237.0,False
100,6,263,0,1,63,259.0,6.82,22,0,2,-259.0,False
100,6,264,0,1,62,282.0,6.659,24,0,2,-282.0,False
100,6,265,0,1,61,306.0,6.579,23,0,2,-306.0,False
100,6,266,0,1,61,331.0,6.359,25,0,2,-331.0,False
100,6,267,0,1,61,357.0,6.363,25,0,2,-357.0,False
100,6,268,0,1,60,380.0,6.033,27,0,2,-380.0,False
100,6,269,0,1,59,407.0,5.827,27,0,2,-407.0,False
100,6,270,0,1,57,434.0,5.591,27,0,2,-434.0,False
100,6,271,0,1,57,462.0,5.449,29,0,2,-462.0,False
100,7,272,1,0,55,491.0,5.139,29,1,3,0.0,False
100,7,273,1,0,56,520.0,5.035,30,1,3,0.0,False
100,7,274,1,0,55,550.0,4.647,31,1,3,0.0,False
100,7,275,1,0,54,352.0,4.624,22,2,0,-352.0,False
100,7,276,1,0,59,214.0,4.347,21,2,0,-214.0,False
100,7,277,1,0,60,133.0,4.617,13,2,0,-133.0,False
100,7,278,1,0,60,69.0,5.19,11,2,0,-69.0,False
100,7,279,1,0,61,31.0,5.813,8,2,0,-31.0,False
100,7,280,1,0,60,20.0,6.351,6,2,0,-20.0,False
100,7,281,1,0,61,26.0,7.133,8,2,0,-26.0,False
100,7,282,1,0,62,36.0,7.644,8,2,0,-36.0,False
100,7,283,1,0,61,39.0,8.252,5,2,0,-39.0,False
100,7,284,1,0,60,47.0,8.549,5,2,0,-47.0,False
100,7,285,1,0,60,56.0,8.724,6,2,0,-56.0,False
100,7,286,1,0,60,66.0,8.832,7,2,0,-66.0,False
100,7,287,1,0,61,79.0,8.679,11,2,0,-79.0,False
100,7,288,1,0,60,73.0,8.666,12,2,0,-73.0,False
100,7,289,1,0,60,86.0,8.474,12,2,0,-86.0,False
100,7,290,1,0,60,90.0,8.534,12,2,0,-90.0,False
100,7,291,1,0,58,96.0,8.428,12,2,0,-96.0,False
100,7,292,1,0,58,99.0,8.423,10,2,0,-99.0,False
100,7,293,1,0,62,103.0,7.849,15,2,0,-103.0,False
100,7,294,1,0,61,108.0,7.937,11,2,0,-108.0,False
100,7,295,1,0,61,119.0,7.953,12,2,0,-119.0,False
100,7,296,1,0,62,132.0,8.071,14,2,0,-132.0,False
100,7,297,1,0,61,146.0,8.133,14,2,0,-146.0,False
100,7,298,1,0,61,160.0,8.155,14,2,0,-160.0,False
100,7,299,1,0,61,174.0,7.893,15,2,0,-174.0,False
100,7,300,1,0,61,189.0,7.958,15,2,0,-189.0,False
100,7,301,1,0,59,205.0,7.669,16,2,0,-205.0,False
100,7,302,1,0,58,222.0,7.308,18,2,0,-222.0,False
100,7,303,1,0,58,241.0,6.938,20,2,0,-241.0,False
100,7,304,1,0,58,260.0,6.897,19,2,0,-260.0,False
100,7,305,1,0,57,280.0,6.576,21,2,0,-280.0,False
100,7,306,1,0,56,301.0,6.425,21,2,0,-301.0,False
100,7,307,1,0,55,323.0,6.429,22,2,0,-323.0,False
100,7,308,1,0,54,346.0,6.185,23,2,0,-346.0,False
100,7,309,1,0,52,370.0,5.894,24,2,0,-370.0,False
100,7,310,1,0,56,395.0,4.977,31,2,0,-395.0,False
100,7,311,1,0,55,420.0,4.917,25,2,0,-420.0,False
100,7,312,1,0,52,446.0,4.513,26,2,0,-446.0,False
100,7,313,1,0,52,474.0,4.392,29,2,0,-474.0,False
100,7,314,1,0,51,503.0,4.47,29,2,0,-503.0,False
100,7,315,1,0,51,533.0,4.699,30,2,0,-533.0,False
100,7,316,1,0,52,563.0,4.605,32,2,0,-563.0,False
100,8,317,0,1,52,593.0,4.671,30,3,1,0.0,False
100,8,318,0,1,51,623.0,4.399,30,3,1,0.0,False
100,8,319,0,1,52,654.0,4.296,32,3,1,0.0,False
100,8,320,0,1,52,391.0,4.58,24,0,2,-391.0,False
100,8,321,0,1,56,275.0,4.519,23,0,2,-275.0,False
100,8,322,0,1,56,193.0,5.34,14,0,2,-193.0,False
100,8,323,0,1,55,132.0,6.026,11,0,2,-132.0,False
100,8,324,0,1,60,88.0,6.324,12,0,2,-88.0,False
100,8,325,0,1,61,57.0,7.144,6,0,2,-57.0,False
100,8,326,0,1,60,30.0,7.901,4,0,2,-30.0,False
