decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
70,3151,0,0,53,689.0,4.8666399528162545,30,0,0,0,16,0,14,-10140.0,False
71,3196,1,1,71,271.0,9.419400387019436,13,2,2,6,0,7,0,-4639.0,False
72,3241,0,0,55,805.0,3.7929159452531356,36,0,0,2,16,2,16,-12700.0,False
73,3286,1,1,72,318.0,9.0996860454015,16,2,2,8,0,8,0,-5989.0,False
74,3331,0,0,55,784.0,4.752595428439632,31,0,0,0,14,0,17,-12202.0,False
75,3376,1,1,71,240.0,9.619956896423778,12,2,2,6,0,6,0,-4265.0,False
76,3421,0,0,52,646.0,3.9529538568179388,34,0,0,2,15,2,15,-9167.0,False
77,3466,1,1,70,308.0,9.433923303864377,16,2,2,8,0,8,0,-5342.0,False
78,3511,0,0,54,724.0,4.824046899239516,30,0,0,0,15,0,15,-11015.0,False
79,3556,1,1,70,237.0,9.617238962790537,12,2,2,6,0,6,0,-4013.0,False
80,3600,0,0,50,755.0,4.479705164213954,31,0,0,0,16,0,15,-11618.0,True
