step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
67,main_green,main_green,55,460.0,7.731802653875637,19,2,2,12.0,12.0,13.0,15.0
68,main_green,main_green,56,480.0,7.7174805787983685,21,2,2,12.0,12.0,13.0,15.0
69,main_green,main_green,56,500.0,7.777834568475309,20,2,2,12.0,12.0,13.0,15.0
70,yellow_transition,yellow_transition,56,520.0,7.921146019496151,20,3,3,15.0,9.0,15.0,11.0
71,yellow_transition,yellow_transition,56,540.0,7.946917057346381,20,3,3,15.0,9.0,15.0,11.0
72,yellow_transition,yellow_transition,61,560.0,7.120804239224568,25,3,3,15.0,9.0,15.0,11.0
73,side_green,side_green,62,211.0,7.30729283005461,13,0,0,15.0,9.0,15.0,11.0
74,side_green,side_green,61,32.0,7.646344772827988,5,0,0,15.0,9.0,15.0,11.0
75,side_green,side_green,60,3.0,8.16520408713938,2,0,0,15.0,9.0,15.0,11.0
76,side_green,side_green,60,6.0,8.603493865602758,4,0,0,15.0,9.0,15.0,11.0
77,side_green,side_green,60,10.0,9.210586778801286,4,0,0,15.0,9.0,15.0,11.0
78,side_green,side_green,61,14.0,9.739277341555287,5,0,0,15.0,9.0,15.0,11.0
79,side_green,side_green,60,20.0,10.261782523503111,6,0,0,15.0,9.0,15.0,11.0
80,side_green,side_green,60,26.0,10.317368634546858,7,0,0,15.0,9.0,15.0,11.0
81,side_green,side_green,60,32.0,10.299390984240278,6,0,0,15.0,9.0,15.0,11.0
82,side_green,side_green,59,39.0,10.06734421419977,7,0,0,15.0,9.0,15.0,11.0
83,yellow_transition,yellow_transition,59,47.0,9.747846802023359,9,1,1,-16.0,6.0,-15.0,7.0
84,yellow_transition,yellow_transition,64,55.0,8.86820359446082,13,1,1,-16.0,6.0,-15.0,7.0
85,yellow_transition,yellow_transition,64,65.0,8.740640532687665,10,1,1,-16.0,6.0,-15.0,7.0
86,main_green,main_green,64,7.0,8.873020107053886,2,2,2,-16.0,6.0,-15.0,7.0
87,main_green,main_green,63,0.0,9.28295096983756,0,2,2,-16.0,6.0,-15.0,7.0
88,main_green,main_green,65,0.0,9.577761554205653,2,2,2,-16.0,6.0,-15.0,7.0
89,main_green,main_green,64,0.0,9.936123615452274,0,2,2,-16.0,6.0,-15.0,7.0
90,main_green,main_green,64,0.0,10.427571346337574,0,2,2,-16.0,6.0,-15.0,7.0
91,main_green,main_green,58,1.0,10.523133888885729,1,2,2,-16.0,6.0,-15.0,7.0
92,main_green,main_green,58,3.0,10.737394184393487,3,2,2,-16.0,6.0,-15.0,7.0
93,main_green,main_green,55,5.0,10.777273926603163,3,2,2,-16.0,6.0,-15.0,7.0
94,main_green,main_green,53,9.0,10.93937813323457,4,2,2,-16.0,6.0,-15.0,7.0
95,main_green,main_green,50,13.0,10.8961419291888,4,2,2,-16.0,6.0,-15.0,7.0
96,main_green,main_green,52,17.0,10.059013960544636,9,2,2,-5.0,9.0,-10.0,4.0
97,main_green,main_green,50,21.0,10.355724237650529,4,2,2,-5.0,9.0,-10.0,4.0
98,main_green,main_green,48,25.0,10.345070157278775,5,2,2,-5.0,9.0,-10.0,4.0
99,main_green,main_green,47,29.0,10.44683748345067,4,2,2,-5.0,9.0,-10.0,4.0
100,main_green,main_green,47,33.0,10.485719409260152,5,2,2,-5.0,9.0,-10.0,4.0
101,main_green,main_green,47,37.0,10.490598836023615,4,2,2,-5.0,9.0,-10.0,4.0
102,main_green,main_green,47,41.0,10.73042377675945,4,2,2,-5.0,9.0,-10.0,4.0
103,main_green,main_green,48,45.0,10.33679828596439,5,2,2,-5.0,9.0,-10.0,4.0
104,main_green,main_green,49,51.0,9.956865388155432,7,2,2,-5.0,9.0,-10.0,4.0
105,main_green,main_green,49,58.0,10.111519960797294,7,2,2,-5.0,9.0,-10.0,4.0
106,main_green,main_green,49,66.0,10.269622955304838,8,2,2,0.0,14.0,0.0,16.0
107,main_green,main_green,49,74.0,10.37527159369596,8,2,2,0.0,14.0,0.0,16.0
108,main_green,main_green,54,82.0,9.491548663812969,13,2,2,0.0,14.0,0.0,16.0
109,main_green,main_green,55,90.0,9.67923239201903,9,2,2,0.0,14.0,0.0,16.0
110,main_green,main_green,55,98.0,9.857834277703155,8,2,2,0.0,14.0,0.0,16.0
111,main_green,main_green,55,106.0,10.010075545188858,8,2,2,0.0,14.0,0.0,16.0
112,main_green,main_green,53,114.0,9.622757376617685,9,2,2,0.0,14.0,0.0,16.0
113,main_green,main_green,53,122.0,9.586966897138701,8,2,2,0.0,14.0,0.0,16.0
114,main_green,main_green,50,130.0,9.112048158898453,9,2,2,0.0,14.0,0.0,16.0
115,main_green,main_green,50,139.0,9.269934221749603,9,2,2,0.0,14.0,0.0,16.0
116,main_green,main_green,49,150.0,9.021247012936985,12,2,2,4.0,12.0,6.0,16.0
117,main_green,main_green,49,162.0,9.048519097064656,12,2,2,4.0,12.0,6.0,16.0
118,main_green,main_green,48,174.0,9.224742138830214,12,2,2,4.0,12.0,6.0,16.0
119,main_green,main_green,49,186.0,9.080824295873523,13,2,2,4.0,12.0,6.0,16.0
120,main_green,main_green,54,198.0,8.431323097904029,17,2,2,4.0,12.0,6.0,16.0
121,main_green,main_green,54,210.0,8.689812849994373,12,2,2,4.0,12.0,6.0,16.0
