decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
3,85,1,39,70.0,6.598284764691927,3,7,0,-70.0,False
3,86,1,41,77.0,6.615820194133519,3,9,0,-77.0,False
3,87,1,42,85.0,6.86689813492316,3,8,1,-85.0,False
3,88,1,42,91.0,6.79404557006188,3,7,1,-91.0,False
3,89,1,42,98.0,7.048719928777033,3,7,0,-98.0,False
3,90,1,42,105.0,7.279401950021628,3,7,0,-105.0,False
3,91,1,42,113.0,7.5382775276359055,3,8,0,-113.0,False
3,92,1,44,121.0,7.50581279566108,3,9,1,-121.0,False
3,93,1,44,129.0,7.814462383609617,3,8,0,-129.0,False
3,94,1,44,137.0,7.75313635180601,3,8,0,-137.0,False
3,95,1,45,145.0,7.527891193369277,3,8,1,-145.0,False
3,96,1,45,153.0,7.6155087236735675,3,8,0,-153.0,False
4,97,0,47,162.0,7.463425197999556,3,10,1,0.0,False
4,98,0,46,172.0,7.462158401636942,3,10,0,0.0,False
4,99,0,46,182.0,7.59004885399812,3,10,0,0.0,False
4,100,0,46,192.0,7.377023125330321,3,10,1,0.0,False
4,101,0,47,203.0,7.341003274901814,3,11,1,0.0,False
4,102,0,47,94.0,7.246496843577988,0,8,1,-94.0,False
4,103,0,46,54.0,6.9770678066361835,0,4,2,-54.0,False
4,104,0,46,27.0,7.126804754855468,0,2,1,-27.0,False
4,105,0,46,10.0,6.9732963820766996,0,1,3,-10.0,False
4,106,0,45,9.0,7.034683618903049,0,0,3,-9.0,False
4,107,0,46,12.0,7.173963294606009,0,1,3,-12.0,False
4,108,0,46,16.0,7.3923162281402,0,0,3,-16.0,False
4,109,0,46,21.0,7.565613846973804,0,0,3,-21.0,False
4,110,0,46,24.0,7.362681139532554,0,2,3,-24.0,False
4,111,0,46,26.0,7.034278497397486,0,1,4,-26.0,False
4,112,0,47,28.0,6.9084201028351595,0,1,3,-28.0,False
4,113,0,46,32.0,6.9549307838893775,0,0,3,-32.0,False
4,114,0,46,35.0,6.839033617584606,0,0,5,-35.0,False
4,115,0,44,38.0,6.7685639631785595,0,0,4,-38.0,False
4,116,0,44,43.0,6.7997830495124845,0,0,6,-43.0,False
4,117,0,44,48.0,6.905107335898375,0,1,5,-48.0,False
4,118,0,44,53.0,7.201876984418436,0,0,5,-53.0,False
4,119,0,43,58.0,6.81976491464695,0,0,6,-58.0,False
4,120,0,43,63.0,6.819221081503412,0,0,5,-63.0,False
4,121,0,42,68.0,6.734334193438754,0,0,5,-68.0,False
4,122,0,44,75.0,6.4989597000069725,0,1,7,-75.0,False
4,123,0,43,81.0,6.525000731903701,0,0,7,-81.0,False
4,124,0,43,88.0,6.812805341520159,0,0,7,-88.0,False
4,125,0,45,96.0,6.669351897936304,0,1,9,-96.0,False
4,126,0,45,104.0,6.734189274262585,0,0,8,-104.0,False
4,127,0,46,112.0,6.662437204519572,0,1,8,-112.0,False
4,128,0,46,120.0,6.884933990292533,0,0,8,-120.0,False
4,129,0,46,130.0,7.191904185000113,0,0,10,-130.0,False
4,130,0,46,140.0,7.4528114116667,0,0,10,-140.0,False
4,131,0,47,150.0,7.394563068183535,0,0,11,-150.0,False
5,132,1,48,160.0,7.3024058679652315,0,1,10,0.0,False
5,133,1,49,171.0,7.190190749889527,0,0,12,0.0,False
5,134,1,48,182.0,6.714119712051898,0,1,11,0.0,False
5,135,1,48,194.0,6.705713504273093,0,0,12,0.0,False
5,136,1,47,206.0,6.5979110642722825,0,0,12,0.0,False
5,137,1,48,150.0,6.65692120672027,3,3,10,-150.0,False
5,138,1,49,105.0,6.701844955448014,3,2,10,-105.0,False
5,139,1,48,75.0,6.715867844506135,3,2,7,-75.0,False
5,140,1,48,54.0,6.600700415763998,3,3,6,-54.0,False
5,141,1,48,36.0,6.837806476299082,3,3,3,-36.0,False
5,142,1,49,24.0,6.607139036740965,3,5,2,-24.0,False
5,143,1,48,18.0,6.618932971912554,3,3,0,-18.0,False
5,144,1,48,21.0,6.7091390476915,3,3,0,-21.0,False
5,145,1,47,25.0,6.8216150791238475,3,4,0,-25.0,False
5,146,1,46,29.0,6.766610616844355,3,4,0,-29.0,False
5,147,1,47,34.0,6.510083331368872,3,6,1,-34.0,False
5,148,1,45,39.0,6.540845750036107,3,5,0,-39.0,False
5,149,1,45,44.0,6.9347642846541175,3,5,0,-44.0,False
5,150,1,45,49.0,7.248342132632478,3,5,0,-49.0,False
5,151,1,46,54.0,7.364480025888898,3,5,1,-54.0,False
5,152,1,47,59.0,7.407854977734869,3,6,0,-59.0,False
5,153,1,48,65.0,7.473655986276981,3,6,1,-65.0,False
5,154,1,48,71.0,7.747865453142953,3,6,0,-71.0,False
5,155,1,47,77.0,7.8399480875761975,3,6,0,-77.0,False
5,156,1,46,84.0,7.791272513310222,3,7,1,-84.0,False
