decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
91,3171,0,94,476.0,3.405922388987577,0,1,29,-476.0,False
92,3206,1,97,906.0,3.2086348153060547,3,25,25,-906.0,False
93,3241,0,101,672.0,3.9813093959365227,0,2,44,-672.0,False
94,3276,1,100,1501.0,3.384895400758059,3,24,33,-1501.0,False
95,3311,0,104,2134.0,3.4008842026494626,0,2,52,-2134.0,False
96,3346,1,105,2505.0,2.9766115393680144,3,21,37,-2505.0,False
97,3381,0,105,2847.0,3.481006916039261,0,1,61,-2847.0,False
98,3416,1,98,2010.0,3.3598544768520147,3,19,29,-2010.0,False
99,3451,0,96,1901.0,2.744948109743614,0,3,51,-1901.0,False
100,3486,1,94,734.0,3.0409451914109296,3,21,26,-734.0,False
101,3521,0,95,849.0,3.615823549966645,0,0,42,-849.0,False
102,3556,1,88,991.0,3.4556357963865167,3,20,24,-991.0,False
103,3591,0,86,488.0,4.1813347379738115,0,0,32,-488.0,False
104,3600,1,86,506.0,3.7848891318199716,3,6,27,-506.0,True
