step,vehicle_count,total_waiting_time,mean_speed,phase,state
101,43,16.0,7.064934429600319,3,rrrGGgrrrGGg
102,44,17.0,7.0012228273762735,3,rrrGGgrrrGGg
103,43,19.0,6.9436248963631195,3,rrrGGgrrrGGg
104,44,22.0,7.012970869246948,3,rrrGGgrrrGGg
105,45,24.0,7.050173845141872,3,rrrGGgrrrGGg
106,45,25.0,7.168052243447131,3,rrrGGgrrrGGg
107,43,29.0,7.0742977013219575,3,rrrGGgrrrGGg
108,43,34.0,7.259601079253714,3,rrrGGgrrrGGg
109,44,39.0,6.981560331396337,3,rrrGGgrrrGGg
110,44,44.0,6.914617960791048,3,rrrGGgrrrGGg
111,44,49.0,7.193421894189743,3,rrrGGgrrrGGg
112,43,54.0,7.327206033630154,3,rrrGGgrrrGGg
113,44,59.0,7.468637343208751,3,rrrGGgrrrGGg
114,43,65.0,7.6930735434831865,3,rrrGGgrrrGGg
115,44,71.0,7.341001442330224,3,rrrGGgrrrGGg
116,44,77.0,7.479545838635156,3,rrrGGgrrrGGg
117,44,83.0,7.657512548760147,3,rrrGGgrrrGGg
118,45,89.0,7.708629870088062,3,rrrGGgrrrGGg
119,45,96.0,7.8950992860923686,3,rrrGGgrrrGGg
120,45,36.0,8.139287483469657,0,GGgrrrGGgrrr
121,47,3.0,7.9901266210607576,0,GGgrrrGGgrrr
122,47,2.0,8.060971175695954,0,GGgrrrGGgrrr
123,47,4.0,8.218646447565089,0,GGgrrrGGgrrr
124,49,7.0,8.095270735646034,0,GGgrrrGGgrrr
125,47,10.0,8.099279501256532,0,GGgrrrGGgrrr
126,47,13.0,7.963814295529688,0,GGgrrrGGgrrr
127,46,16.0,7.979615359078363,0,GGgrrrGGgrrr
128,46,21.0,8.145135627934522,0,GGgrrrGGgrrr
129,45,26.0,8.345759206536087,0,GGgrrrGGgrrr
130,45,31.0,8.297666248411945,0,GGgrrrGGgrrr
131,46,36.0,8.212883636059654,0,GGgrrrGGgrrr
132,46,42.0,7.940311171401306,0,GGgrrrGGgrrr
133,46,46.0,7.569634434516058,0,GGgrrrGGgrrr
134,44,53.0,7.252544899065162,0,GGgrrrGGgrrr
135,44,60.0,7.359740928763313,0,GGgrrrGGgrrr
136,44,68.0,7.580332718133037,0,GGgrrrGGgrrr
137,45,76.0,7.348467384341727,0,GGgrrrGGgrrr
138,43,84.0,7.258609484189686,0,GGgrrrGGgrrr
139,44,92.0,7.335309658415486,0,GGgrrrGGgrrr
140,44,100.0,7.516951939811167,0,GGgrrrGGgrrr
141,45,109.0,7.519030437163287,0,GGgrrrGGgrrr
142,44,116.0,7.296357578298106,0,GGgrrrGGgrrr
143,44,125.0,7.455888662786634,0,GGgrrrGGgrrr
144,44,134.0,7.574788740797507,0,GGgrrrGGgrrr
145,43,143.0,7.629576005631677,0,GGgrrrGGgrrr
146,44,152.0,7.556487562678409,0,GGgrrrGGgrrr
147,44,162.0,7.269254959084099,0,GGgrrrGGgrrr
148,43,172.0,7.237112219469352,0,GGgrrrGGgrrr
149,43,184.0,7.351709046813542,0,GGgrrrGGgrrr
150,44,136.0,7.234160334912593,3,rrrGGgrrrGGg
151,44,93.0,7.334392877056391,3,rrrGGgrrrGGg
152,43,57.0,6.996217168513048,3,rrrGGgrrrGGg
153,44,26.0,7.057680999834315,3,rrrGGgrrrGGg
154,43,11.0,7.113733755887647,3,rrrGGgrrrGGg
155,40,4.0,6.80587328807093,3,rrrGGgrrrGGg
156,42,5.0,6.590079109257041,3,rrrGGgrrrGGg
157,41,6.0,6.502974656378732,3,rrrGGgrrrGGg
158,42,8.0,6.47173972655005,3,rrrGGgrrrGGg
159,42,11.0,6.563904215487128,3,rrrGGgrrrGGg
160,43,14.0,6.552966967112471,3,rrrGGgrrrGGg
161,43,18.0,6.334407751522952,3,rrrGGgrrrGGg
162,43,22.0,6.4749056711925,3,rrrGGgrrrGGg
163,43,26.0,6.197152372122922,3,rrrGGgrrrGGg
164,43,30.0,6.296989191349851,3,rrrGGgrrrGGg
165,44,35.0,6.375500657914458,3,rrrGGgrrrGGg
166,43,40.0,6.218811996932235,3,rrrGGgrrrGGg
167,43,45.0,6.372298842878809,3,rrrGGgrrrGGg
168,44,51.0,6.3471543423458145,3,rrrGGgrrrGGg
169,43,58.0,6.436030261085665,3,rrrGGgrrrGGg
170,43,65.0,6.771846983554085,3,rrrGGgrrrGGg
171,44,72.0,6.95343192127062,3,rrrGGgrrrGGg
172,44,79.0,7.1516617726549665,3,rrrGGgrrrGGg
173,44,86.0,7.354516198375142,3,rrrGGgrrrGGg
174,45,93.0,7.028674557680009,3,rrrGGgrrrGGg
175,45,100.0,7.368395178359108,3,rrrGGgrrrGGg
176,44,109.0,7.470750124301332,3,rrrGGgrrrGGg
177,45,118.0,7.526225617602722,3,rrrGGgrrrGGg
178,46,127.0,7.477589773583728,3,rrrGGgrrrGGg
179,47,136.0,7.475526767265312,3,rrrGGgrrrGGg
180,47,60.0,7.706685271469383,0,GGgrrrGGgrrr
181,47,23.0,8.053435272738634,0,GGgrrrGGgrrr
182,46,6.0,7.817249818233677,0,GGgrrrGGgrrr
183,46,4.0,7.959270799352787,0,GGgrrrGGgrrr
