step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,1.8712690115751078,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,3.622790871129837,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,5.543411643938938,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,6.334559918108529,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,8.411736560017536,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,8.93845265537163,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,10.159654303319988,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,9.331819531287021,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,10.074929414075548,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,10.921434168232144,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,10.391117007297144,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,7.305204934268357,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,8.416632309458464,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,9.121579119723224,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,9.929276824099256,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,9.419057313220929,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,10.232480183458087,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,9.806263181716952,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,0.0,9.548524694927737,0,2,2,4.0,6.0,4.0,4.0
20,main_green,main_green,18,1.0,8.704317855356676,2,2,2,8.0,10.0,8.0,8.0
