step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,state
75,37,34.0,6.094785462953764,3,5,1,rrrGGgrrrGGg
76,37,35.0,6.359373529974828,3,4,1,rrrGGgrrrGGg
77,37,38.0,6.57166145138539,3,4,2,rrrGGgrrrGGg
78,37,41.0,6.7384389098510376,3,4,2,rrrGGgrrrGGg
79,38,44.0,6.785235845543905,3,4,2,rrrGGgrrrGGg
80,39,47.0,6.77771878165205,3,6,0,rrrGGgrrrGGg
81,40,52.0,6.669233421171086,3,5,1,rrrGGgrrrGGg
82,40,57.0,6.7352211425264255,3,5,0,rrrGGgrrrGGg
83,39,63.0,6.620082689109842,3,6,0,rrrGGgrrrGGg
84,39,70.0,6.911199870343873,3,7,0,rrrGGgrrrGGg
85,40,77.0,6.770486979131981,3,9,0,rrrGGgrrrGGg
86,41,85.0,6.974016443252024,3,8,1,rrrGGgrrrGGg
87,42,91.0,7.135516124038832,3,7,1,rrrGGgrrrGGg
88,42,98.0,7.310863035940302,3,7,0,rrrGGgrrrGGg
89,42,105.0,7.515418540368731,3,7,0,rrrGGgrrrGGg
90,42,113.0,7.784949048941627,3,8,0,rrrGGgrrrGGg
91,44,121.0,7.717727874667282,3,9,1,rrrGGgrrrGGg
92,44,129.0,8.032493505067283,3,8,0,rrrGGgrrrGGg
93,44,137.0,8.151643624981448,3,8,0,rrrGGgrrrGGg
94,45,145.0,7.885295731138671,3,8,1,rrrGGgrrrGGg
95,45,153.0,7.934989776039821,4,8,0,rrryyyrrryyy
96,46,162.0,7.493638123494027,4,10,1,rrryyyrrryyy
97,46,172.0,7.679263361177356,4,10,0,rrryyyrrryyy
98,45,182.0,7.656205381299545,5,10,0,rrrrrrrrrrrr
99,46,193.0,7.537186949148722,5,10,2,rrrrrrrrrrrr
100,46,87.0,7.404374478963313,0,7,1,GGgrrrGGgrrr
101,45,50.0,7.196361181445703,0,5,1,GGgrrrGGgrrr
102,46,25.0,7.185085576668345,0,2,2,GGgrrrGGgrrr
103,45,9.0,7.262398229256159,0,1,2,GGgrrrGGgrrr
104,45,8.0,7.100111069754871,0,0,3,GGgrrrGGgrrr
105,45,11.0,7.351317991888385,0,0,3,GGgrrrGGgrrr
106,46,15.0,7.342747377005338,0,1,3,GGgrrrGGgrrr
107,46,19.0,7.504439775409922,0,0,3,GGgrrrGGgrrr
108,45,22.0,7.5111839984371995,0,0,3,GGgrrrGGgrrr
109,45,26.0,7.012835481234769,0,1,4,GGgrrrGGgrrr
110,45,31.0,7.0920906209377765,0,0,3,GGgrrrGGgrrr
111,45,33.0,6.89290892869386,0,2,3,GGgrrrGGgrrr
112,43,34.0,6.729383858719802,0,1,3,GGgrrrGGgrrr
113,42,35.0,6.418656916942728,0,0,4,GGgrrrGGgrrr
114,42,39.0,6.705238725214953,0,0,4,GGgrrrGGgrrr
115,43,44.0,6.872319784475175,0,0,6,GGgrrrGGgrrr
116,44,49.0,7.077022191029445,0,1,5,GGgrrrGGgrrr
117,42,54.0,7.015414202361755,0,0,5,GGgrrrGGgrrr
118,43,59.0,7.021146719903464,0,0,6,GGgrrrGGgrrr
119,42,64.0,6.908203217085382,0,0,5,GGgrrrGGgrrr
120,41,69.0,6.995371996455437,0,0,5,GGgrrrGGgrrr
121,43,76.0,6.971800407580349,0,1,8,GGgrrrGGgrrr
122,43,83.0,7.292497420142497,0,0,7,GGgrrrGGgrrr
123,43,91.0,7.6441780458501585,0,0,8,GGgrrrGGgrrr
124,45,99.0,7.501906056169015,0,1,9,GGgrrrGGgrrr
125,45,107.0,7.5430311582704705,0,0,8,GGgrrrGGgrrr
126,46,115.0,7.499858826160951,0,1,8,GGgrrrGGgrrr
127,46,125.0,7.588982403791533,0,0,10,GGgrrrGGgrrr
128,46,135.0,7.8323465693504986,0,0,10,GGgrrrGGgrrr
129,46,145.0,8.086814155697807,0,0,10,GGgrrrGGgrrr
130,47,155.0,8.028230408308128,1,0,11,yyyrrryyyrrr
131,47,165.0,7.747724183135768,1,1,10,yyyrrryyyrrr
132,48,175.0,7.5170447624180285,1,0,11,yyyrrryyyrrr
133,49,186.0,7.299536933500662,2,1,11,rrrrrrrrrrrr
134,47,198.0,6.9968694720140014,2,0,12,rrrrrrrrrrrr
135,47,141.0,7.085597645453281,3,1,10,rrrGGgrrrGGg
136,47,99.0,6.993371772068562,3,3,9,rrrGGgrrrGGg
137,47,70.0,6.833767561148016,3,2,8,rrrGGgrrrGGg
138,47,49.0,6.946833413141024,3,2,5,rrrGGgrrrGGg
139,48,34.0,6.999550053696665,3,3,4,rrrGGgrrrGGg
140,48,22.0,7.259697539388644,3,3,2,rrrGGgrrrGGg
141,49,25.0,7.0546297021196285,3,5,1,rrrGGgrrrGGg
142,48,19.0,6.967281139612219,3,3,0,rrrGGgrrrGGg
143,47,22.0,6.911681843290667,3,3,0,rrrGGgrrrGGg
144,45,26.0,6.7298436505996895,3,4,0,rrrGGgrrrGGg
145,43,30.0,6.644047706398339,3,4,0,rrrGGgrrrGGg
146,44,35.0,6.472232415195401,3,6,1,rrrGGgrrrGGg
147,43,40.0,6.485689704188254,3,5,0,rrrGGgrrrGGg
148,43,45.0,6.681211639367602,3,5,0,rrrGGgrrrGGg
149,42,50.0,6.753868515788329,3,5,0,rrrGGgrrrGGg
150,42,55.0,6.52311125584225,3,5,1,rrrGGgrrrGGg
151,42,62.0,6.719431361016897,3,6,0,rrrGGgrrrGGg
152,43,69.0,6.310313028298979,3,7,1,rrrGGgrrrGGg
153,43,73.0,6.3787561498065966,3,6,0,rrrGGgrrrGGg
154,42,79.0,6.341405644103818,3,6,0,rrrGGgrrrGGg
155,43,85.0,6.295639078126361,3,6,1,rrrGGgrrrGGg
156,44,92.0,6.22506805150421,3,8,0,rrrGGgrrrGGg
157,45,99.0,6.179474515815766,3,8,0,rrrGGgrrrGGg
158,45,106.0,6.352249455826178,3,7,0,rrrGGgrrrGGg
159,45,114.0,6.5742436127614265,3,8,0,rrrGGgrrrGGg
160,47,123.0,6.4940297730090535,3,9,2,rrrGGgrrrGGg
161,47,132.0,6.709856422823787,3,9,0,rrrGGgrrrGGg
162,48,141.0,6.685021705666871,3,10,0,rrrGGgrrrGGg
163,48,150.0,6.771797153542735,3,9,0,rrrGGgrrrGGg
164,48,160.0,6.836307319092367,3,10,0,rrrGGgrrrGGg
165,50,170.0,6.6972104292809975,4,10,2,rrryyyrrryyy
166,49,182.0,6.63354961924415,4,11,1,rrryyyrrryyy
167,49,194.0,6.47201809853811,4,12,1,rrryyyrrryyy
168,49,207.0,6.561470920081353,5,11,2,rrrrrrrrrrrr
169,49,221.0,6.577452417254828,5,12,2,rrrrrrrrrrrr
170,48,106.0,6.504809891321943,0,8,3,GGgrrrGGgrrr
171,47,52.0,6.092515535658413,0,4,4,GGgrrrGGgrrr
172,48,35.0,6.127954621739385,0,3,5,GGgrrrGGgrrr
173,47,27.0,6.209942808892467,0,1,5,GGgrrrGGgrrr
174,48,28.0,6.43414118662162,0,1,6,GGgrrrGGgrrr
175,48,34.0,6.750687945843737,0,0,6,GGgrrrGGgrrr
176,48,41.0,6.930550288136366,0,0,6,GGgrrrGGgrrr
177,47,49.0,6.515809819261147,0,0,7,GGgrrrGGgrrr
178,49,57.0,6.187855059296866,0,1,7,GGgrrrGGgrrr
179,49,67.0,6.131223291339551,0,0,6,GGgrrrGGgrrr
180,47,76.0,5.838252864484087,0,2,7,GGgrrrGGgrrr
181,47,86.0,6.010869774042721,0,2,8,GGgrrrGGgrrr
182,47,96.0,5.940760604446843,0,2,9,GGgrrrGGgrrr
183,48,99.0,5.978307209752141,0,3,8,GGgrrrGGgrrr
184,48,102.0,6.220512010675613,0,1,8,GGgrrrGGgrrr
185,48,105.0,6.3885814154206715,0,0,8,GGgrrrGGgrrr
186,48,113.0,6.560555644339755,0,0,8,GGgrrrGGgrrr
187,45,122.0,6.337541611617385,0,0,9,GGgrrrGGgrrr
188,45,132.0,6.561100208573895,0,0,10,GGgrrrGGgrrr
189,45,142.0,6.355624313588549,0,1,10,GGgrrrGGgrrr
190,46,152.0,6.303932526095776,0,1,10,GGgrrrGGgrrr
191,45,163.0,5.875915035798332,0,0,12,GGgrrrGGgrrr
192,45,174.0,5.9559505313527605,0,0,11,GGgrrrGGgrrr
193,46,186.0,5.893000152550684,0,0,13,GGgrrrGGgrrr
194,47,199.0,5.80594007083585,0,1,12,GGgrrrGGgrrr
195,47,212.0,5.860047729424851,0,0,12,GGgrrrGGgrrr
196,47,223.0,6.06982042681599,0,0,13,GGgrrrGGgrrr
197,47,237.0,6.374013445866594,0,0,14,GGgrrrGGgrrr
198,48,251.0,6.416811019330768,0,0,15,GGgrrrGGgrrr
199,49,265.0,6.396868739855097,0,1,14,GGgrrrGGgrrr
200,49,279.0,6.5473276467826045,1,0,14,yyyrrryyyrrr
201,50,294.0,6.649311852732541,1,1,15,yyyrrryyyrrr
202,49,309.0,6.634035592608754,1,0,15,yyyrrryyyrrr
203,50,325.0,6.70392952127381,2,1,16,rrrrrrrrrrrr
204,49,341.0,6.400364490990737,2,2,15,rrrrrrrrrrrr
205,49,264.0,6.484796020298271,3,1,12,rrrGGgrrrGGg
206,48,211.0,6.3891635613073765,3,1,10,rrrGGgrrrGGg
207,49,169.0,6.307751167302264,3,1,9,rrrGGgrrrGGg
208,48,130.0,6.265088181646372,3,2,7,rrrGGgrrrGGg
209,47,104.0,5.953819928643928,3,4,6,rrrGGgrrrGGg
210,46,83.0,5.95312799925188,3,3,5,rrrGGgrrrGGg
211,45,67.0,5.938748032779908,3,3,4,rrrGGgrrrGGg
212,45,75.0,6.130560354470734,3,4,4,rrrGGgrrrGGg
213,46,60.0,6.257568502489701,3,5,3,rrrGGgrrrGGg
214,48,49.0,6.275862798021702,3,5,3,rrrGGgrrrGGg
215,47,40.0,6.449922312157093,3,4,1,rrrGGgrrrGGg
216,45,36.0,6.477133225808912,3,4,0,rrrGGgrrrGGg
217,45,41.0,6.581996911815078,3,5,1,rrrGGgrrrGGg
218,45,46.0,6.902387265381196,3,5,0,rrrGGgrrrGGg
219,45,51.0,7.1557215303163595,3,5,0,rrrGGgrrrGGg
220,45,56.0,7.101624531260343,3,6,0,rrrGGgrrrGGg
221,46,62.0,7.1555689370425135,3,6,1,rrrGGgrrrGGg
222,45,68.0,7.326462066950137,3,6,0,rrrGGgrrrGGg
223,46,74.0,7.280754988771647,3,7,0,rrrGGgrrrGGg
224,47,80.0,7.164140027125508,3,6,1,rrrGGgrrrGGg
225,47,86.0,6.901648773611181,3,7,0,rrrGGgrrrGGg
226,48,94.0,6.871509110274769,3,8,1,rrrGGgrrrGGg
227,47,102.0,6.969057527106566,3,8,0,rrrGGgrrrGGg
228,47,110.0,7.265672799618571,3,8,0,rrrGGgrrrGGg
229,46,118.0,7.135488773090266,3,8,1,rrrGGgrrrGGg
230,47,126.0,7.248287953130724,3,9,0,rrrGGgrrrGGg
231,47,134.0,7.430593951616656,3,8,0,rrrGGgrrrGGg
232,47,142.0,7.6507994188951,3,8,0,rrrGGgrrrGGg
233,47,151.0,7.807420782364317,3,9,0,rrrGGgrrrGGg
