step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue
81,side_green,side_green,47,522.0,4.9472652260356265,25,0,0,4,0,4,0
82,side_green,side_green,46,548.0,4.830624255361156,26,0,0,4,0,4,0
83,side_green,side_green,47,574.0,4.6996337172169795,27,0,0,4,0,4,0
84,side_green,side_green,52,601.0,4.219059667931408,32,0,0,4,0,4,0
85,side_green,side_green,51,628.0,4.270429492406278,27,0,0,4,0,4,0
86,side_green,side_green,51,655.0,4.330083989488176,27,0,0,4,0,4,0
87,yellow_transition,yellow_transition,51,682.0,4.504837256357304,27,1,1,0,14,0,13
88,yellow_transition,yellow_transition,53,711.0,4.299253933375804,31,1,1,0,14,0,13
89,yellow_transition,yellow_transition,53,741.0,4.179088376696967,30,1,1,0,14,0,13
90,main_green,main_green,53,455.0,4.285825816605887,22,2,2,0,14,0,13
91,main_green,main_green,53,252.0,4.5621493906099415,17,2,2,0,14,0,13
92,main_green,main_green,54,156.0,5.083901156539248,16,2,2,0,14,0,13
93,main_green,main_green,55,86.0,5.851407376743246,13,2,2,0,14,0,13
94,main_green,main_green,54,42.0,6.572827439480709,9,2,2,0,14,0,13
95,main_green,main_green,54,27.0,7.366043151836173,6,2,2,0,14,0,13
96,main_green,main_green,59,21.0,7.317126006880819,9,2,2,0,14,0,13
97,main_green,main_green,59,25.0,8.115685981789301,4,2,2,0,14,0,13
98,main_green,main_green,58,29.0,8.548590463536684,5,2,2,0,14,0,13
99,main_green,main_green,57,33.0,9.232028457950825,4,2,2,0,14,0,13
100,main_green,main_green,58,37.0,9.592873349183968,5,2,2,0,14,0,13
101,main_green,main_green,58,41.0,9.83529511285734,4,2,2,0,14,0,13
102,main_green,main_green,58,45.0,10.0378281864958,4,2,2,0,14,0,13
103,main_green,main_green,59,50.0,9.862385961102573,6,2,2,0,14,0,13
104,main_green,main_green,60,56.0,9.979632439098793,7,2,2,0,14,0,13
105,main_green,main_green,60,63.0,10.157108953284656,7,2,2,0,14,0,13
106,main_green,main_green,60,71.0,10.369410996614196,8,2,2,0,14,0,13
107,main_green,main_green,60,79.0,10.396740808525927,8,2,2,0,14,0,13
108,main_green,main_green,65,87.0,9.630507652899913,13,2,2,0,14,0,13
109,main_green,main_green,66,95.0,9.701447531791525,9,2,2,0,14,0,13
110,main_green,main_green,66,103.0,9.91897793871912,8,2,2,0,14,0,13
111,main_green,main_green,66,111.0,10.076247368853672,8,2,2,0,14,0,13
112,main_green,main_green,67,119.0,9.94542410802761,9,2,2,0,14,0,13
113,main_green,main_green,67,127.0,9.931161657122965,8,2,2,0,14,0,13
114,main_green,main_green,68,136.0,9.775676470050854,10,2,2,0,14,0,13
115,main_green,main_green,68,145.0,9.825551937015081,9,2,2,0,14,0,13
116,main_green,main_green,67,155.0,9.75825176765321,11,2,2,0,14,0,13
117,main_green,main_green,66,167.0,9.786337686109306,12,2,2,0,14,0,13
118,main_green,main_green,64,179.0,9.705112632472801,12,2,2,0,14,0,13
119,main_green,main_green,64,191.0,9.588855255450742,13,2,2,0,14,0,13
120,main_green,main_green,69,203.0,8.865860621096655,17,2,2,0,14,0,13
121,main_green,main_green,69,215.0,9.183614304797842,12,2,2,0,14,0,13
122,main_green,main_green,68,227.0,9.444720020288507,12,2,2,0,14,0,13
123,main_green,main_green,68,239.0,9.421024800338294,12,2,2,0,14,0,13
124,main_green,main_green,70,251.0,9.214859353455898,14,2,2,0,14,0,13
125,main_green,main_green,70,263.0,9.267566111656143,12,2,2,0,14,0,13
126,main_green,main_green,70,275.0,9.280674290932234,12,2,2,0,14,0,13
127,main_green,main_green,70,287.0,9.241980704553342,12,2,2,0,14,0,13
128,main_green,main_green,71,302.0,9.168219409607874,16,2,2,0,14,0,13
129,main_green,main_green,72,318.0,9.188177147649109,17,2,2,0,14,0,13
130,main_green,main_green,72,334.0,9.15668154087806,16,2,2,0,14,0,13
131,main_green,main_green,72,350.0,9.31738899955769,16,2,2,0,14,0,13
132,yellow_transition,yellow_transition,77,366.0,8.613456127920582,21,3,3,8,0,8,0
133,yellow_transition,yellow_transition,77,382.0,8.677994074755624,16,3,3,8,0,8,0
134,yellow_transition,yellow_transition,78,398.0,8.531365469730332,17,3,3,8,0,8,0
135,side_green,side_green,78,111.0,8.661535126919684,8,0,0,8,0,8,0
136,side_green,side_green,79,2.0,8.745045598803294,3,0,0,8,0,8,0
137,side_green,side_green,79,5.0,8.89180595332812,3,0,0,8,0,8,0
138,side_green,side_green,79,9.0,9.152561439263115,4,0,0,8,0,8,0
139,side_green,side_green,80,14.0,9.472253498518953,6,0,0,8,0,8,0
140,side_green,side_green,81,22.0,9.850233748279953,9,0,0,8,0,8,0
141,side_green,side_green,79,30.0,10.27152198313225,8,0,0,8,0,8,0
142,side_green,side_green,79,38.0,10.567528447815404,8,0,0,8,0,8,0
143,side_green,side_green,77,48.0,10.492229639197541,10,0,0,8,0,8,0
144,side_green,side_green,81,58.0,9.616273347019243,15,0,0,8,0,8,0
145,side_green,side_green,80,69.0,9.299016912537573,12,0,0,8,0,8,0
146,side_green,side_green,79,81.0,9.283648400037466,12,0,0,8,0,8,0
147,side_green,side_green,78,95.0,9.153542770646853,14,0,0,8,0,8,0
148,side_green,side_green,77,110.0,9.016035304388398,16,0,0,8,0,8,0
149,side_green,side_green,75,126.0,9.022275977048448,16,0,0,8,0,8,0
150,side_green,side_green,74,143.0,8.967303494583183,18,0,0,8,0,8,0
151,side_green,side_green,72,162.0,8.931180723554789,19,0,0,8,0,8,0
152,side_green,side_green,70,181.0,8.560397657428672,20,0,0,8,0,8,0
153,side_green,side_green,64,201.0,8.044684923572227,20,0,0,8,0,8,0
154,side_green,side_green,59,221.0,7.624896067070954,20,0,0,8,0,8,0
155,side_green,side_green,53,241.0,6.785841887450536,21,0,0,8,0,8,0
156,side_green,side_green,53,263.0,5.564107095773717,27,0,0,8,0,8,0
157,side_green,side_green,51,286.0,5.382265523270213,23,0,0,8,0,8,0
158,side_green,side_green,48,309.0,5.123763179887514,23,0,0,8,0,8,0
159,side_green,side_green,47,333.0,5.143993706490517,24,0,0,8,0,8,0
160,side_green,side_green,49,357.0,5.022197834193841,26,0,0,8,0,8,0
161,side_green,side_green,49,382.0,5.2457735556739475,25,0,0,8,0,8,0
162,side_green,side_green,49,408.0,5.5515790663462505,26,0,0,8,0,8,0
163,side_green,side_green,49,434.0,5.736818528798915,26,0,0,8,0,8,0
164,side_green,side_green,50,460.0,5.626666931168866,27,0,0,8,0,8,0
165,side_green,side_green,51,486.0,5.3713729396962355,27,0,0,8,0,8,0
166,side_green,side_green,48,513.0,4.937460866649015,27,0,0,8,0,8,0
167,side_green,side_green,48,540.0,4.827770501105616,27,0,0,8,0,8,0
168,side_green,side_green,53,568.0,4.339179836126384,33,0,0,8,0,8,0
169,side_green,side_green,52,596.0,4.3043542663630685,28,0,0,8,0,8,0
170,side_green,side_green,53,624.0,4.4030935777434355,29,0,0,8,0,8,0
171,side_green,side_green,53,654.0,4.5736431786797835,30,0,0,8,0,8,0
172,side_green,side_green,54,684.0,4.591681621908637,31,0,0,8,0,8,0
173,side_green,side_green,54,714.0,4.742237189996673,30,0,0,8,0,8,0
174,side_green,side_green,54,745.0,4.871624924558058,31,0,0,8,0,8,0
175,side_green,side_green,55,776.0,4.864455555361175,32,0,0,8,0,8,0
176,side_green,side_green,56,808.0,4.775388326168401,33,0,0,8,0,8,0
177,yellow_transition,yellow_transition,55,840.0,4.590284490809875,32,1,1,0,17,0,16
178,yellow_transition,yellow_transition,53,873.0,4.235898271610429,33,1,1,0,17,0,16
179,yellow_transition,yellow_transition,53,906.0,4.212547166111683,33,1,1,0,17,0,16
180,main_green,main_green,57,601.0,4.009725668174392,31,2,2,0,17,0,16
181,main_green,main_green,58,343.0,4.483355195433838,20,2,2,0,17,0,16
182,main_green,main_green,58,154.0,5.3867106266884965,12,2,2,0,17,0,16
183,main_green,main_green,58,61.0,6.248653477477901,8,2,2,0,17,0,16
184,main_green,main_green,59,25.0,7.007808710257879,5,2,2,0,17,0,16
185,main_green,main_green,59,6.0,7.758826488094989,1,2,2,0,17,0,16
186,main_green,main_green,60,0.0,8.29000586115361,1,2,2,0,17,0,16
187,main_green,main_green,60,0.0,9.056220539324357,0,2,2,0,17,0,16
188,main_green,main_green,61,2.0,9.502382024078436,3,2,2,0,17,0,16
189,main_green,main_green,57,5.0,9.98598890123566,3,2,2,0,17,0,16
190,main_green,main_green,57,9.0,10.42105667137824,4,2,2,0,17,0,16
191,main_green,main_green,58,13.0,10.579591985834378,5,2,2,0,17,0,16
192,main_green,main_green,63,17.0,9.98726996527283,9,2,2,0,17,0,16
193,main_green,main_green,63,21.0,10.423955866834275,4,2,2,0,17,0,16
194,main_green,main_green,63,25.0,10.636901846859237,4,2,2,0,17,0,16
195,main_green,main_green,63,29.0,10.985471270934086,4,2,2,0,17,0,16
196,main_green,main_green,65,33.0,10.734360158613955,6,2,2,0,17,0,16
197,main_green,main_green,65,37.0,10.77122505849426,4,2,2,0,17,0,16
198,main_green,main_green,65,41.0,10.833589781417365,4,2,2,0,17,0,16
199,main_green,main_green,65,45.0,10.853714303665141,4,2,2,0,17,0,16
200,main_green,main_green,66,51.0,10.765840960193131,7,2,2,0,17,0,16
201,main_green,main_green,67,57.0,10.571283573607149,7,2,2,0,17,0,16
202,main_green,main_green,67,64.0,10.570978598074124,7,2,2,0,17,0,16
203,main_green,main_green,67,71.0,10.714625729917728,7,2,2,0,17,0,16
