episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,82,-9389435.0,326.4681725752981,0.9811700348643991,79,985.0,4.472121528603313,49
2,82,-8629685.0,203.65838160165927,0.9038873549665959,96,646.0,5.608920647775282,40
3,81,-5363193.0,41.58736236007125,0.8335254355400126,84,4311.0,3.8484129706599415,57
4,81,-6918335.0,9.92024169439151,0.7686407469632577,46,495.0,4.934919329913836,27
5,81,-8236090.0,10.058631620289367,0.7088069214222238,63,296.0,6.740227105295523,23
6,81,-3620386.0,6.633435358235865,0.6536307811431531,68,90.0,10.285534564798985,9
7,81,-3755443.0,5.479259028846835,0.6027497547577038,68,99.0,10.435853479656046,9
8,81,-3989822.0,4.828132092216869,0.5558294947876746,74,1148.0,5.330043804442713,33
9,81,-4084861.0,4.937108237066386,0.5125616805934888,62,96.0,9.949599636015353,9
10,81,-3070940.0,4.496591905016958,0.4726619923492537,63,296.0,6.754200777321861,23
11,81,-2047490.0,4.326151897877823,0.43586824273106645,62,829.0,4.368227799789759,39
12,81,-2046462.0,3.728386491905024,0.401938654041574,68,304.0,7.298511807760767,26
13,81,-1432523.0,4.06768101968883,0.3706502694495053,56,31.0,6.103109839647418,7
14,81,-1508386.0,3.461852930210255,0.34179748790416437,56,12.0,10.645600215039009,4
15,81,-2139969.0,3.9507030690157854,0.31519071309757335,60,16.0,8.585522089651228,4
16,81,-1427963.0,3.0720196049890403,0.2906551075963786,60,516.0,5.43096466226025,32
17,81,-1473239.0,3.5181296548725647,0.268029443956713,85,61.0,8.666977903657802,13
18,80,-1081673.0,3.329097283631563,0.24741245773023876,60,470.0,5.577880679481334,32
19,81,-1274637.0,3.7885428814240445,0.22815296115658504,102,1422.0,4.709870691761767,44
20,81,-1262868.0,3.9465014890388206,0.21039269470122635,60,71.0,6.8429068639645445,11
21,80,-1128403.0,5.488827626407146,0.19420916193418256,59,987.0,5.0904971591210355,34
22,81,-978788.0,4.33806206267557,0.17909120577644616,84,295.0,9.348722368681127,15
23,81,-1021939.0,4.082017393759739,0.1651500869836984,61,216.0,5.69691639455444,18
24,80,-820428.0,4.084424975514412,0.15244664284569598,49,715.0,4.619125780175721,30
25,81,-1061111.0,4.941322100751194,0.1405796349250481,59,376.0,5.014345680077818,22
26,81,-1045562.0,4.229582534896003,0.12963639859005108,73,12.0,9.409276970946468,4
27,81,-1293599.0,4.993119634963848,0.11954502405955701,64,1986.0,3.3150360862433783,45
28,81,-1248388.0,5.796453828428999,0.1102391992745224,57,26.0,6.244375831166787,7
29,80,-616461.0,5.117071045935154,0.1017595336843962,50,757.0,4.5153430503007925,31
30,80,-950138.0,4.980448675900698,0.1,54,916.0,4.841692407787899,32
31,80,-917806.0,5.334644188731909,0.1,71,347.0,9.354816954599825,16
32,80,-796966.0,4.496482439339161,0.1,61,398.0,5.560404895919354,27
33,81,-1092152.0,3.931128944143837,0.1,71,347.0,9.040648049600055,16
34,80,-770659.0,4.5700251393020155,0.1,60,397.0,5.592391968873824,27
35,80,-832441.0,4.379035359248519,0.1,69,404.0,6.187076275006999,27
36,80,-930947.0,5.918662820756436,0.1,71,346.0,9.354214280496869,16
37,80,-882988.0,5.0022793091833595,0.1,62,480.0,5.739803352523883,31
38,80,-878579.0,4.658435924723745,0.1,69,1968.0,3.156625187767438,50
39,80,-781656.0,4.043680626899004,0.1,49,711.0,4.55052856733533,30
40,80,-853245.0,5.549673824757337,0.1,51,796.0,4.383237177991157,32
41,80,-821806.0,4.938844142854213,0.1,60,400.0,5.530855565596725,27
42,81,-842484.0,5.138118324824322,0.1,72,6.0,9.141745661078348,3
43,81,-792876.0,5.896305984920925,0.1,52,867.0,4.325437622773845,33
44,80,-696071.0,5.676573429629206,0.1,62,480.0,5.8517614562011495,32
45,80,-760114.0,6.113804924860597,0.1,71,345.0,9.370361973651072,16
46,81,-1073738.0,5.6854082592475566,0.1,51,816.0,4.413036793799853,32
47,80,-684223.0,6.354667038470507,0.1,49,714.0,4.65793058891976,30
48,80,-763349.0,6.7359940117225054,0.1,50,748.0,4.562278152156186,31
49,81,-977325.0,6.754857543258019,0.1,71,349.0,9.038425782091466,16
50,80,-1107966.0,7.372999982908368,0.1,49,690.0,4.665234415386173,30
51,81,-1039518.0,7.979651289221681,0.1,72,18.0,9.929369283752983,6
52,80,-876260.0,7.483056130632758,0.1,71,345.0,9.244173898619074,16
53,81,-998277.0,8.847390369868572,0.1,62,1260.0,4.63672203114072,38
54,80,-956638.0,6.258875907212496,0.1,51,798.0,4.424327664577181,32
55,80,-779664.0,6.821171969920397,0.1,60,402.0,5.441640635161635,27
56,80,-893488.0,5.804705143347382,0.1,71,346.0,9.238262156128823,16
57,81,-870845.0,5.96816807359825,0.1,61,510.0,5.49512503301617,32
58,81,-1133338.0,5.403315229548348,0.1,58,498.0,4.843660493272692,32
59,80,-922734.0,6.063794733956456,0.1,50,754.0,4.509776825747247,31
60,80,-941224.0,6.738114105910062,0.1,70,350.0,9.208089624657427,16
61,80,-1028641.0,7.547180806845427,0.1,60,399.0,5.53822240951752,26
62,80,-846969.0,6.786010163649917,0.1,71,343.0,9.308609026082419,16
63,81,-786013.0,7.68106358985842,0.1,51,819.0,4.503262632161026,32
64,81,-922389.0,6.581709732979904,0.1,74,918.0,8.121595369300705,24
65,80,-746664.0,6.582444460317492,0.1,59,403.0,5.377493307909888,28
66,80,-799214.0,7.412166456505656,0.1,50,758.0,4.5868958829738045,31
67,80,-705143.0,8.422149340063333,0.1,69,1978.0,3.1123677238209706,50
68,80,-730925.0,8.024577824771404,0.1,59,400.0,5.361971667334868,26
69,81,-1186328.0,8.609703798720867,0.1,58,484.0,4.970206093907139,32
70,80,-872672.0,7.435416296496987,0.1,71,344.0,9.318765287240248,16
71,80,-824764.0,8.039746571332216,0.1,62,434.0,5.980057119626615,30
72,80,-852412.0,9.388427532091736,0.1,50,747.0,4.5794660232656135,31
73,80,-591546.0,8.510432837158442,0.1,61,430.0,5.76427471392147,30
74,81,-795970.0,9.104931995456601,0.1,59,1136.0,3.8380764973502814,40
75,81,-703724.0,8.422552234964606,0.1,72,1.0,9.218918120844393,1
76,81,-1062394.0,7.01411155031787,0.1,58,220.0,5.522263688293902,18
77,80,-810133.0,7.978516186960041,0.1,62,468.0,5.8707564339762754,30
78,80,-735968.0,6.751661646179855,0.1,62,472.0,5.683270048730498,32
79,81,-1053526.0,7.161583699929861,0.1,51,823.0,4.412284612352856,32
80,80,-925257.0,7.023551880568266,0.1,50,756.0,4.557652725588502,30
81,80,-856634.0,7.252469071373343,0.1,61,472.0,5.672480278945204,31
82,80,-860233.0,9.051258341595531,0.1,69,1994.0,3.19762491757765,50
83,80,-755754.0,7.85947371609509,0.1,61,468.0,5.746783960363609,31
84,80,-712823.0,9.920687949284911,0.1,49,709.0,4.647564075224804,30
85,80,-1121451.0,9.679400787875057,0.1,61,1088.0,3.692865074552805,42
86,81,-1264724.0,8.509254040909402,0.1,62,1265.0,4.619210287456881,38
87,80,-1071563.0,8.169297992065548,0.1,59,408.0,5.315420930078564,27
88,81,-750112.0,9.070223502906753,0.1,68,2109.0,3.056269611094534,49
89,81,-1456416.0,9.065952896335979,0.1,59,239.0,5.7222773749252775,18
90,81,-916886.0,8.526888516950018,0.1,58,456.0,5.228483439956793,32
91,80,-765177.0,11.707928901165724,0.1,49,705.0,4.608085270173995,30
92,81,-788818.0,8.582073966294159,0.1,60,509.0,5.513249745088518,32
93,80,-909245.0,9.097531567513943,0.1,60,395.0,5.4308856183082534,27
94,80,-820857.0,9.604877220839262,0.1,55,955.0,4.640305527404522,34
95,81,-1061476.0,8.58558331080425,0.1,62,392.0,5.53973601526754,26
96,81,-897924.0,8.327033519376943,0.1,58,497.0,4.990140323270453,32
97,81,-919967.0,9.889544399432195,0.1,73,1735.0,3.6282889843871877,49
98,81,-1137675.0,8.911448784816413,0.1,71,344.0,9.095589571685966,16
99,81,-875317.0,9.140143796249673,0.1,72,906.0,7.744653164170986,24
100,80,-1319527.0,9.12066067531705,0.1,89,416.0,7.134153011550293,28
