step,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
120,side_green,49,434.0,4.378003117563245,30,0,0
121,side_green,49,459.0,4.720397160268796,25,0,0
122,side_green,49,484.0,4.786937688804068,25,0,0
123,side_green,49,510.0,4.865294468656626,26,0,0
124,side_green,51,537.0,4.754972669440204,29,0,0
125,side_green,51,565.0,4.9544909433758075,28,0,0
126,side_green,51,593.0,5.129843859557617,28,0,0
127,side_green,51,621.0,5.062330892122356,28,0,0
128,side_green,52,650.0,4.973484207643992,30,0,0
129,side_green,50,679.0,4.426334105755163,30,0,0
130,side_green,49,709.0,4.42258938217594,30,0,0
131,side_green,49,739.0,4.389095449211564,30,0,0
132,side_yellow,54,769.0,3.869640355645942,35,1,1
133,side_yellow,54,799.0,4.048103386596428,30,1,1
134,side_yellow,55,830.0,4.05611945684219,32,1,1
135,main_green,55,526.0,4.577285318220805,24,2,2
136,main_green,56,272.0,5.118098919224825,18,2,2
137,main_green,56,131.0,5.736432732343962,11,2,2
138,main_green,56,62.0,6.3596317296908484,7,2,2
139,main_green,57,21.0,6.852182317343658,5,2,2
140,main_green,58,8.0,7.57191421527118,4,2,2
141,main_green,57,6.0,8.336712324643603,3,2,2
142,main_green,54,10.0,8.946746765124576,4,2,2
143,main_green,54,14.0,9.493321357593162,4,2,2
144,main_green,59,18.0,9.279076765919207,9,2,2
145,main_green,60,22.0,9.674091306239184,5,2,2
146,main_green,60,26.0,10.163798059502959,4,2,2
147,main_green,60,30.0,10.654083319889883,4,2,2
148,main_green,61,34.0,10.920974708137761,5,2,2
149,main_green,61,38.0,11.079484724195364,4,2,2
150,main_green,62,42.0,10.907951324351897,5,2,2
151,main_green,62,46.0,10.822339287612836,4,2,2
152,main_green,63,52.0,10.724808117075222,7,2,2
153,main_green,63,60.0,10.793862452868757,8,2,2
154,main_green,63,68.0,10.798956534207823,8,2,2
155,main_green,64,76.0,10.733966034629006,9,2,2
156,main_green,69,84.0,9.906142839532224,13,2,2
157,main_green,69,92.0,10.168320052352076,8,2,2
158,main_green,69,100.0,10.385318698903326,8,2,2
159,main_green,69,108.0,10.587678862788852,8,2,2
160,main_green,70,116.0,10.324745474158943,10,2,2
161,main_green,68,124.0,10.148251993067312,8,2,2
162,main_green,67,132.0,10.194044946238037,8,2,2
163,main_green,64,142.0,10.026434979241746,10,2,2
164,main_green,64,153.0,9.853335219714237,12,2,2
165,main_green,64,164.0,9.75668960667739,12,2,2
166,main_green,64,176.0,9.796048370830638,12,2,2
167,main_green,63,188.0,9.845237440272648,12,2,2
168,main_green,68,200.0,9.182362182035703,17,2,2
169,main_green,68,212.0,9.401292861404947,12,2,2
170,main_green,69,224.0,9.427268900537083,13,2,2
171,main_green,69,236.0,9.557399482959127,12,2,2
172,main_green,70,248.0,9.39007102048095,13,2,2
173,main_green,70,260.0,9.449585858611778,12,2,2
174,main_green,70,272.0,9.53478294629891,12,2,2
175,main_green,71,285.0,9.498257186280698,14,2,2
176,main_green,72,301.0,9.35467735046408,17,2,2
177,main_yellow,72,317.0,9.37196245207446,16,3,3
178,main_yellow,72,333.0,9.144942952074912,16,3,3
179,main_yellow,72,350.0,8.93660437306343,17,3,3
180,side_green,77,93.0,8.478208082246207,16,0,0
181,side_green,78,8.0,8.619113980679325,5,0,0
182,side_green,78,12.0,8.992839213135019,4,0,0
183,side_green,76,17.0,9.326581089618593,5,0,0
184,side_green,75,24.0,9.505415951536406,8,0,0
185,side_green,74,32.0,9.905233583628815,8,0,0
186,side_green,73,40.0,10.126999911641905,9,0,0
187,side_green,73,49.0,10.407888583716858,9,0,0
188,side_green,74,59.0,10.241807268582665,11,0,0
