episode,decisions,episode_reward,final_vehicle_count,final_total_waiting_time,final_mean_speed
1,104,-94437.0,86,506.0,3.7848891318199716
2,104,-94437.0,86,506.0,3.7848891318199716
3,104,-94437.0,86,506.0,3.7848891318199716
4,104,-94437.0,86,506.0,3.7848891318199716
5,104,-94437.0,86,506.0,3.7848891318199716
