decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
70,3151,0,1,64,438.0,5.72994978721243,28,0,2,0,22,6,0,-6269.0,False
71,3196,1,0,59,417.0,5.115160696699973,30,2,0,6,0,0,24,-5622.0,False
72,3241,0,1,65,509.0,4.970086273708056,37,0,2,2,25,10,0,-7706.0,False
73,3286,1,0,62,404.0,5.466344618056272,29,2,0,8,0,0,21,-5941.0,False
74,3331,0,1,63,437.0,6.0284215152899,28,0,2,0,22,6,0,-6197.0,False
75,3376,1,0,62,417.0,5.286244171971759,31,2,0,6,0,0,25,-5531.0,False
76,3421,0,1,64,514.0,4.848369095214151,36,0,2,2,24,10,0,-7826.0,False
77,3466,1,0,61,424.0,5.187567369899131,31,2,0,8,0,0,23,-5979.0,False
78,3511,0,1,62,438.0,6.009278653130029,28,0,2,0,22,6,0,-6170.0,False
79,3556,1,0,61,407.0,5.355721606271746,29,2,0,6,0,0,23,-5566.0,False
80,3600,0,1,61,478.0,5.502446634195869,31,0,2,0,23,8,0,-7079.0,True
