step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,2.2160101741746376,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,4.202645001781639,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,6.158685374686804,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,6.98194049956011,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,9.034671975984905,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,9.657154982322233,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,10.455212413587658,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,9.729761485846751,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,10.410660589233593,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,11.060287410352728,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,10.406112790094825,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,7.347951170882676,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,8.216218041113112,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,9.174042781299445,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,10.13282096763819,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,9.249900650075102,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,9.29510704049555,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,9.41206579784426,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,1.0,9.115902733385273,1,2,2,4.0,6.0,4.0,4.0
20,main_green,main_green,18,4.0,8.580290668214353,4,2,2,8.0,10.0,8.0,8.0
21,main_green,main_green,19,8.0,8.499993725736514,5,2,2,8.0,10.0,8.0,8.0
22,main_green,main_green,19,12.0,9.013248486840984,4,2,2,8.0,10.0,8.0,8.0
23,main_green,main_green,19,16.0,9.222387112154045,4,2,2,8.0,10.0,8.0,8.0
24,main_green,main_green,24,20.0,7.35382144791916,9,2,2,8.0,10.0,8.0,8.0
25,main_green,main_green,24,24.0,8.041233754726017,4,2,2,8.0,10.0,8.0,8.0
26,main_green,main_green,25,28.0,8.192511319214,5,2,2,8.0,10.0,8.0,8.0
27,main_green,main_green,25,32.0,8.664736434860549,4,2,2,8.0,10.0,8.0,8.0
28,main_green,main_green,26,36.0,8.606662422280305,5,2,2,8.0,10.0,8.0,8.0
29,main_green,main_green,26,40.0,8.584648649018755,4,2,2,8.0,10.0,8.0,8.0
30,main_green,main_green,26,44.0,8.491601700069234,4,2,2,11.0,15.0,11.0,11.0
31,main_green,main_green,27,49.0,8.095623730645379,6,2,2,11.0,15.0,11.0,11.0
32,main_green,main_green,28,56.0,8.079216542239374,8,2,2,11.0,15.0,11.0,11.0
33,main_green,main_green,28,63.0,8.263259245142732,7,2,2,11.0,15.0,11.0,11.0
34,main_green,main_green,28,71.0,8.406300887907033,8,2,2,11.0,15.0,11.0,11.0
35,main_green,main_green,28,79.0,8.518967397938477,8,2,2,11.0,15.0,11.0,11.0
36,main_green,main_green,33,87.0,7.326634768117882,13,2,2,11.0,15.0,11.0,11.0
37,main_green,main_green,34,95.0,7.538714952386586,9,2,2,11.0,15.0,11.0,11.0
38,main_green,main_green,34,103.0,8.053000171978653,8,2,2,11.0,15.0,11.0,11.0
39,main_green,main_green,34,111.0,8.41499958770949,8,2,2,11.0,15.0,11.0,11.0
40,main_green,main_green,35,119.0,8.18759642865162,9,2,2,12.0,14.0,13.0,15.0
41,main_green,main_green,35,127.0,8.052156017684391,8,2,2,12.0,14.0,13.0,15.0
42,main_green,main_green,36,135.0,7.808000243858343,9,2,2,12.0,14.0,13.0,15.0
43,main_green,main_green,36,146.0,8.0476670988555,11,2,2,12.0,14.0,13.0,15.0
44,main_green,main_green,37,158.0,7.993647468438903,13,2,2,12.0,14.0,13.0,15.0
45,main_green,main_green,37,170.0,8.087491214683086,12,2,2,12.0,14.0,13.0,15.0
46,main_green,main_green,37,182.0,8.264884018883427,12,2,2,12.0,14.0,13.0,15.0
47,main_green,main_green,38,194.0,8.156903869341747,13,2,2,12.0,14.0,13.0,15.0
48,main_green,main_green,43,206.0,7.324768682324908,17,2,2,12.0,14.0,13.0,15.0
49,main_green,main_green,43,218.0,7.6639864069647325,12,2,2,12.0,14.0,13.0,15.0
50,main_green,main_green,43,230.0,7.954862854256941,12,2,2,15.0,15.0,15.0,15.0
51,main_green,main_green,43,242.0,7.984880803745415,12,2,2,15.0,15.0,15.0,15.0
52,main_green,main_green,45,254.0,7.674481312499507,14,2,2,15.0,15.0,15.0,15.0
53,main_green,main_green,45,266.0,7.919176091032798,12,2,2,15.0,15.0,15.0,15.0
54,main_green,main_green,45,278.0,7.934355121550267,12,2,2,15.0,15.0,15.0,15.0
55,main_green,main_green,45,291.0,7.949903249478462,13,2,2,15.0,15.0,15.0,15.0
56,main_green,main_green,46,304.0,7.867451419269972,14,2,2,15.0,15.0,15.0,15.0
57,main_green,main_green,47,320.0,7.805363394193634,17,2,2,15.0,15.0,15.0,15.0
58,main_green,main_green,47,336.0,7.896990547122075,16,2,2,15.0,15.0,15.0,15.0
59,main_green,main_green,47,352.0,8.037805802176223,16,2,2,15.0,15.0,15.0,15.0
60,main_green,main_green,52,368.0,7.364720775643657,21,2,2,12.0,14.0,13.0,15.0
61,main_green,main_green,52,384.0,7.658976907271422,16,2,2,12.0,14.0,13.0,15.0
62,main_green,main_green,53,400.0,7.75353878827122,17,2,2,12.0,14.0,13.0,15.0
63,main_green,main_green,53,416.0,8.0949166185497,16,2,2,12.0,14.0,13.0,15.0
64,main_green,main_green,54,432.0,7.842301098151064,17,2,2,12.0,14.0,13.0,15.0
65,main_green,main_green,54,448.0,7.895539554542059,16,2,2,12.0,14.0,13.0,15.0
66,main_green,main_green,54,464.0,7.742678193521765,16,2,2,12.0,14.0,13.0,15.0
67,main_green,main_green,55,482.0,7.656380959202044,19,2,2,12.0,14.0,13.0,15.0
68,main_green,main_green,56,502.0,7.65412079731328,21,2,2,12.0,14.0,13.0,15.0
69,main_green,main_green,56,522.0,7.847331086678872,20,2,2,12.0,14.0,13.0,15.0
70,yellow_transition,yellow_transition,56,542.0,7.875197266613119,20,3,3,14.0,10.0,15.0,13.0
71,yellow_transition,yellow_transition,55,562.0,7.688726574019799,20,3,3,14.0,10.0,15.0,13.0
72,yellow_transition,yellow_transition,59,582.0,6.687246741839523,25,3,3,14.0,10.0,15.0,13.0
73,side_green,side_green,60,220.0,6.884608409124172,14,0,0,14.0,10.0,15.0,13.0
74,side_green,side_green,60,33.0,7.39424284054644,6,0,0,14.0,10.0,15.0,13.0
75,side_green,side_green,60,6.0,8.069258051607822,3,0,0,14.0,10.0,15.0,13.0
76,side_green,side_green,61,10.0,8.685761165222619,5,0,0,14.0,10.0,15.0,13.0
77,side_green,side_green,61,14.0,9.332457750493942,4,0,0,14.0,10.0,15.0,13.0
78,side_green,side_green,62,18.0,9.755699750615687,5,0,0,14.0,10.0,15.0,13.0
79,side_green,side_green,62,22.0,10.277848269660186,4,0,0,14.0,10.0,15.0,13.0
80,side_green,side_green,63,26.0,10.224924964870247,5,0,0,14.0,10.0,15.0,13.0
81,side_green,side_green,61,32.0,10.12087766713431,6,0,0,14.0,10.0,15.0,13.0
82,side_green,side_green,61,41.0,10.037111089917534,9,0,0,14.0,10.0,15.0,13.0
83,yellow_transition,yellow_transition,61,50.0,9.68597944997194,10,1,1,-18.0,4.0,-15.0,9.0
84,yellow_transition,yellow_transition,66,60.0,8.9033900115682,15,1,1,-18.0,4.0,-15.0,9.0
85,yellow_transition,yellow_transition,66,72.0,8.848540529953194,12,1,1,-18.0,4.0,-15.0,9.0
86,main_green,main_green,65,13.0,9.160833787004544,4,2,2,-18.0,4.0,-15.0,9.0
87,main_green,main_green,64,1.0,9.3493852415485,1,2,2,-18.0,4.0,-15.0,9.0
88,main_green,main_green,66,0.0,9.68929026425875,2,2,2,-18.0,4.0,-15.0,9.0
89,main_green,main_green,66,0.0,10.089822534658282,0,2,2,-18.0,4.0,-15.0,9.0
90,main_green,main_green,66,0.0,10.448781572095065,0,2,2,-18.0,4.0,-15.0,9.0
91,main_green,main_green,61,0.0,10.922874427112674,0,2,2,-18.0,4.0,-15.0,9.0
92,main_green,main_green,59,0.0,11.06920553903241,1,2,2,-18.0,4.0,-15.0,9.0
93,main_green,main_green,55,3.0,10.929836704991851,4,2,2,-18.0,4.0,-15.0,9.0
94,main_green,main_green,50,6.0,10.91628428128778,3,2,2,-18.0,4.0,-15.0,9.0
95,main_green,main_green,46,9.0,11.029345750233183,3,2,2,-18.0,4.0,-15.0,9.0
96,main_green,main_green,46,13.0,9.70156812063186,9,2,2,-4.0,8.0,-5.0,7.0
97,main_green,main_green,46,17.0,10.068607664359252,4,2,2,-4.0,8.0,-5.0,7.0
98,main_green,main_green,47,21.0,10.19811048863283,5,2,2,-4.0,8.0,-5.0,7.0
99,main_green,main_green,47,25.0,10.561829392521968,4,2,2,-4.0,8.0,-5.0,7.0
100,main_green,main_green,48,29.0,10.494729585799197,5,2,2,-4.0,8.0,-5.0,7.0
101,main_green,main_green,48,33.0,10.636015677965196,4,2,2,-4.0,8.0,-5.0,7.0
102,main_green,main_green,48,37.0,10.673648275229475,4,2,2,-4.0,8.0,-5.0,7.0
103,main_green,main_green,49,42.0,10.382656250530493,6,2,2,-4.0,8.0,-5.0,7.0
104,main_green,main_green,50,47.0,10.019042868423048,6,2,2,-4.0,8.0,-5.0,7.0
105,main_green,main_green,50,54.0,10.171276893073694,7,2,2,-4.0,8.0,-5.0,7.0
106,main_green,main_green,50,62.0,10.334579158900308,8,2,2,0.0,14.0,-1.0,13.0
107,main_green,main_green,50,70.0,10.456988229144494,8,2,2,0.0,14.0,-1.0,13.0
108,main_green,main_green,55,78.0,9.53679312406396,13,2,2,0.0,14.0,-1.0,13.0
109,main_green,main_green,56,86.0,9.516855952616641,9,2,2,0.0,14.0,-1.0,13.0
110,main_green,main_green,56,94.0,9.807092376631317,8,2,2,0.0,14.0,-1.0,13.0
111,main_green,main_green,56,102.0,10.09481581451223,8,2,2,0.0,14.0,-1.0,13.0
112,main_green,main_green,55,110.0,9.7282393172315,9,2,2,0.0,14.0,-1.0,13.0
113,main_green,main_green,55,118.0,9.68393122666974,8,2,2,0.0,14.0,-1.0,13.0
114,main_green,main_green,54,126.0,9.327087560587763,9,2,2,0.0,14.0,-1.0,13.0
115,main_green,main_green,52,135.0,9.390313039089062,9,2,2,0.0,14.0,-1.0,13.0
116,main_green,main_green,52,147.0,9.254296675993135,13,2,2,6.0,14.0,3.0,11.0
117,main_green,main_green,51,159.0,9.255773042265922,12,2,2,6.0,14.0,3.0,11.0
