step,vehicle_count,total_waiting_time,mean_speed,phase,state
102,46,224.0,7.394537122413899,3,rrrGGgrrrGGg
103,45,235.0,7.357240961439501,3,rrrGGgrrrGGg
104,45,246.0,7.089575156014217,3,rrrGGgrrrGGg
105,45,258.0,7.237089960555001,3,rrrGGgrrrGGg
106,46,270.0,7.253549144837996,3,rrrGGgrrrGGg
107,46,282.0,7.46949210439321,3,rrrGGgrrrGGg
108,45,295.0,7.486116699738785,3,rrrGGgrrrGGg
109,44,308.0,7.206986357140213,3,rrrGGgrrrGGg
110,45,321.0,7.173197925567057,3,rrrGGgrrrGGg
111,45,335.0,6.872927955994869,3,rrrGGgrrrGGg
112,43,349.0,6.703466525462548,3,rrrGGgrrrGGg
113,42,363.0,6.429625851385803,3,rrrGGgrrrGGg
114,42,377.0,6.651614137343963,3,rrrGGgrrrGGg
115,43,391.0,6.605023947172071,3,rrrGGgrrrGGg
116,44,405.0,6.503984623373694,3,rrrGGgrrrGGg
117,42,419.0,6.26534206530711,3,rrrGGgrrrGGg
118,43,433.0,6.1144811842217415,3,rrrGGgrrrGGg
119,43,447.0,6.072363025114642,3,rrrGGgrrrGGg
120,42,462.0,5.920857274191785,3,rrrGGgrrrGGg
121,43,478.0,5.572157863376842,3,rrrGGgrrrGGg
122,42,494.0,5.438095803940399,3,rrrGGgrrrGGg
123,42,510.0,5.4596223663650925,3,rrrGGgrrrGGg
124,44,527.0,5.257790317935024,3,rrrGGgrrrGGg
125,43,544.0,5.212731740704759,3,rrrGGgrrrGGg
126,44,562.0,5.289321002575439,3,rrrGGgrrrGGg
127,44,580.0,5.421708602040198,3,rrrGGgrrrGGg
128,44,598.0,5.499410174308955,3,rrrGGgrrrGGg
129,43,616.0,5.383996833683256,3,rrrGGgrrrGGg
130,44,634.0,5.399357360845463,3,rrrGGgrrrGGg
131,45,652.0,5.368581569757419,3,rrrGGgrrrGGg
132,46,671.0,5.321772882837102,3,rrrGGgrrrGGg
133,47,690.0,5.209422055213713,3,rrrGGgrrrGGg
134,47,710.0,5.243477520497145,3,rrrGGgrrrGGg
135,47,730.0,5.362286860117805,3,rrrGGgrrrGGg
136,47,750.0,5.199568146628768,3,rrrGGgrrrGGg
137,48,770.0,5.187908348171404,3,rrrGGgrrrGGg
138,48,791.0,5.26821531461684,3,rrrGGgrrrGGg
139,49,812.0,5.277228329567657,3,rrrGGgrrrGGg
140,49,833.0,5.378309511691818,3,rrrGGgrrrGGg
141,51,855.0,5.2188003275897925,3,rrrGGgrrrGGg
142,51,877.0,5.300561466860936,3,rrrGGgrrrGGg
143,50,899.0,5.145045579668842,3,rrrGGgrrrGGg
144,50,921.0,5.254544267470855,3,rrrGGgrrrGGg
145,49,944.0,5.21796203057603,3,rrrGGgrrrGGg
146,51,967.0,5.030927537528547,3,rrrGGgrrrGGg
147,51,991.0,5.175611218048077,3,rrrGGgrrrGGg
148,51,1015.0,5.252256628847354,3,rrrGGgrrrGGg
149,50,1039.0,5.1626234401509965,3,rrrGGgrrrGGg
150,50,1063.0,4.935240851253509,3,rrrGGgrrrGGg
151,51,1087.0,4.870512930001363,3,rrrGGgrrrGGg
152,52,1112.0,4.88263907167433,3,rrrGGgrrrGGg
153,52,1137.0,4.8356113920942425,3,rrrGGgrrrGGg
154,51,1162.0,4.592570553472601,3,rrrGGgrrrGGg
155,51,1187.0,4.227013236366825,3,rrrGGgrrrGGg
156,53,1213.0,4.133797534756689,3,rrrGGgrrrGGg
157,53,1240.0,4.215702934437737,3,rrrGGgrrrGGg
158,52,1267.0,4.055016407884788,3,rrrGGgrrrGGg
159,52,1294.0,4.16212356372482,3,rrrGGgrrrGGg
160,53,1322.0,4.042824619201759,3,rrrGGgrrrGGg
161,54,1350.0,4.1688346537226,3,rrrGGgrrrGGg
162,54,1378.0,4.22707143949653,3,rrrGGgrrrGGg
163,54,1406.0,4.210197870958372,3,rrrGGgrrrGGg
164,53,1434.0,3.980343455371458,3,rrrGGgrrrGGg
165,55,1462.0,3.830531905689435,3,rrrGGgrrrGGg
166,56,1491.0,3.9544083290483925,3,rrrGGgrrrGGg
167,56,1521.0,4.082999987990152,3,rrrGGgrrrGGg
168,55,1551.0,4.072063234521517,3,rrrGGgrrrGGg
169,54,1581.0,3.923411751376511,3,rrrGGgrrrGGg
170,54,1612.0,4.024652623443917,3,rrrGGgrrrGGg
171,56,1643.0,3.8123625852576395,3,rrrGGgrrrGGg
172,56,1674.0,3.763418021224531,3,rrrGGgrrrGGg
173,56,1705.0,3.825114777158818,3,rrrGGgrrrGGg
174,57,1738.0,3.8859137085417665,3,rrrGGgrrrGGg
175,57,1771.0,4.072042960798801,3,rrrGGgrrrGGg
176,58,1804.0,4.10859308727889,3,rrrGGgrrrGGg
177,59,1837.0,4.10094846883603,3,rrrGGgrrrGGg
178,60,1870.0,4.024147536525851,3,rrrGGgrrrGGg
179,60,1903.0,4.117978844854003,3,rrrGGgrrrGGg
180,60,1937.0,4.249989780458972,3,rrrGGgrrrGGg
181,61,1971.0,4.264876590591104,3,rrrGGgrrrGGg
182,61,2005.0,4.287955998912947,3,rrrGGgrrrGGg
183,60,2039.0,3.896458539536131,3,rrrGGgrrrGGg
184,59,2074.0,3.750123260993872,3,rrrGGgrrrGGg
185,59,2109.0,3.8884895264391823,3,rrrGGgrrrGGg
186,59,2144.0,3.743157652233081,3,rrrGGgrrrGGg
187,59,2179.0,3.8008493648763517,3,rrrGGgrrrGGg
188,58,2214.0,3.652854450247929,3,rrrGGgrrrGGg
189,57,2249.0,3.4586331641702537,3,rrrGGgrrrGGg
190,59,2285.0,3.3441072649233434,3,rrrGGgrrrGGg
191,60,2322.0,3.2308806911767007,3,rrrGGgrrrGGg
192,60,2359.0,3.29579453587495,3,rrrGGgrrrGGg
193,61,2396.0,3.25856878006442,3,rrrGGgrrrGGg
194,61,2434.0,3.4120729733186925,3,rrrGGgrrrGGg
195,61,2472.0,3.5552256993001596,3,rrrGGgrrrGGg
196,61,2510.0,3.372868170691576,3,rrrGGgrrrGGg
197,61,2548.0,3.4014257006617683,3,rrrGGgrrrGGg
