decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
70,3151,0,0,55,796.0,4.688069912227086,32,0,0,0,15,0,17,-12714.0,False
71,3196,1,1,71,231.0,9.609716972423238,12,2,2,6,0,6,0,-4039.0,False
72,3241,0,0,55,806.0,3.8120741396093343,36,0,0,2,16,2,16,-12711.0,False
73,3286,1,1,72,313.0,9.254555382817692,16,2,2,8,0,8,0,-5948.0,False
74,3331,0,0,54,741.0,4.840320007214565,30,0,0,0,14,0,16,-11164.0,False
75,3376,1,1,71,233.0,9.55365003138063,12,2,2,6,0,6,0,-4054.0,False
76,3421,0,0,52,668.0,4.134310458286958,34,0,0,2,16,2,14,-9833.0,False
77,3466,1,1,71,309.0,9.531700956989162,16,2,2,8,0,8,0,-5551.0,False
78,3511,0,0,54,715.0,4.792771972541863,30,0,0,0,15,0,15,-10667.0,False
79,3556,1,1,70,236.0,9.654728688869694,12,2,2,6,0,6,0,-4013.0,False
80,3600,0,0,49,713.0,4.602681294714105,30,0,0,0,15,0,15,-10769.0,True
