step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
85,40,39.0,6.54529919439739,0,2,6,13,GGgrrrGGgrrr
86,39,43.0,5.876819639358125,0,1,7,14,GGgrrrGGgrrr
87,40,49.0,6.0158814880920986,0,0,7,15,GGgrrrGGgrrr
88,40,55.0,6.241630234367706,0,0,6,16,GGgrrrGGgrrr
89,40,62.0,6.4773051829241854,0,0,7,17,GGgrrrGGgrrr
90,39,69.0,6.5079727691270275,0,0,7,18,GGgrrrGGgrrr
91,39,76.0,6.4424573625903525,0,1,7,19,GGgrrrGGgrrr
92,40,83.0,6.494046734816434,1,0,8,0,yyyrrryyyrrr
93,40,91.0,6.517327357075848,1,0,8,0,yyyrrryyyrrr
94,41,99.0,6.350726954150117,1,0,9,0,yyyrrryyyrrr
95,41,108.0,6.291108327414696,2,1,8,0,rrrrrrrrrrrr
96,42,119.0,6.262799235445014,2,2,10,0,rrrrrrrrrrrr
97,43,65.0,6.367513920518595,3,2,8,0,rrrGGgrrrGGg
98,43,44.0,6.627025823934849,3,3,5,1,rrrGGgrrrGGg
99,44,32.0,6.538395111039819,3,3,4,2,rrrGGgrrrGGg
100,45,26.0,6.507781957955539,3,4,2,3,rrrGGgrrrGGg
101,46,23.0,6.532369015394585,3,5,1,4,rrrGGgrrrGGg
102,47,22.0,6.769120946716952,3,4,2,5,rrrGGgrrrGGg
103,47,25.0,7.083882746569293,3,4,0,6,rrrGGgrrrGGg
104,46,30.0,7.1409788143194595,3,4,0,7,rrrGGgrrrGGg
105,47,33.0,7.13186421041386,3,4,1,8,rrrGGgrrrGGg
106,48,37.0,7.046654509431792,3,5,0,9,rrrGGgrrrGGg
107,44,41.0,6.600732244705585,3,4,0,10,rrrGGgrrrGGg
108,44,47.0,6.783316472330153,3,6,0,11,rrrGGgrrrGGg
109,45,53.0,6.850048735319668,3,7,0,12,rrrGGgrrrGGg
110,46,59.0,6.852078690838328,3,6,1,13,rrrGGgrrrGGg
