step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,2.1727555296888266,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,4.0195272264148425,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,5.934325357445051,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,6.739585344240602,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,8.656692943216434,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,9.298575525828078,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,10.570842747875364,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,10.064840650662152,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,10.641683929700914,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,11.37063600506343,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,10.732754195686654,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,7.595808999273144,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,8.699705820463127,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,9.612475284590225,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,10.520638594545886,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,9.670744737775546,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,9.599387925573062,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,9.400623573373466,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,0.0,9.32041725019034,0,2,2,4.0,6.0,4.0,4.0
