episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,82,-16110311.0,0.0,1.0,129,7603.0,1.5872264830960225,110
2,81,-15638003.0,1157.2036997477214,0.9892565076962169,60,987.0,4.8355379082956675,33
3,82,-13462765.0,769.5299206245236,0.9652141250032966,108,1815.0,4.607797320080827,50
4,82,-7095655.0,325.6170127682569,0.9417560560460514,98,6389.0,2.602369210218691,67
5,81,-4822951.0,235.82866037627798,0.9191438431161267,117,249.0,8.796583111069436,19
6,82,-11076499.0,108.20584241355338,0.8968054426566723,70,852.0,8.429514868113563,21
7,82,-10797926.0,76.4488987224858,0.875009943222802,61,1184.0,4.604672242692739,37
8,81,-4727693.0,58.29790211901253,0.8540003505316477,89,644.0,8.894906564764511,20
9,82,-6047603.0,42.58495427340996,0.8332451640985706,71,946.0,4.188473575509057,33
10,82,-5263358.0,41.8798785093354,0.8129944010695399,88,2789.0,2.38070894392056,68
11,81,-6383242.0,31.00080881001037,0.7934738443502082,70,1624.0,3.647282843264441,49
12,81,-4780601.0,25.517175162280047,0.7744219896712982,67,184.0,9.803559017668782,12
13,82,-6200971.0,20.956969679855717,0.7556008348983568,128,9748.0,1.3208835822533722,113
14,81,-3101794.0,24.842098112459535,0.737458337317311,103,7510.0,1.7918180323677584,86
15,81,-2898059.0,26.004164975366475,0.7197514536256044,47,498.0,4.801804519072051,27
16,81,-4671333.0,24.21201659426277,0.702469724433083,58,231.0,7.189985259329743,19
17,81,-4097188.0,21.33920379921242,0.6856029414867678,67,245.0,7.681838398297755,20
18,81,-3488337.0,19.688445535706887,0.6691411416408808,59,239.0,7.1849686967903885,19
19,81,-4528863.0,17.025209680015656,0.6530746009716517,71,681.0,6.236350762055239,32
20,81,-4740890.0,15.046493144682897,0.6373938290334299,107,462.0,9.059342525576803,17
21,81,-3617537.0,16.672785190888394,0.6220895632527172,51,419.0,5.801405907295684,25
22,82,-5807714.0,14.121867304894982,0.606970617627761,138,1963.0,7.929625543103302,36
23,81,-3472024.0,15.859689741958807,0.5923968341517822,61,714.0,7.394767325187343,22
24,81,-2833631.0,14.285699502921398,0.5781729772762617,72,438.0,9.186537733255626,16
25,81,-3122518.0,14.038639103924787,0.5642906450219947,62,246.0,7.214731261923243,21
26,81,-1982073.0,12.496149960859322,0.5507416371470955,69,443.0,9.20837585842966,16
27,81,-1538603.0,12.300123241212633,0.5375179503031463,59,640.0,6.135657470665196,20
28,81,-3662659.0,12.992404908309748,0.5246117733076493,48,500.0,4.949175258574292,27
29,81,-2526809.0,12.487463733296336,0.5120154825299892,66,93.0,9.959708848067812,9
30,81,-2157337.0,13.303090163219123,0.4997216373881848,81,124.0,7.473999632804501,13
31,81,-2770112.0,11.455969177646402,0.4877229759537635,98,6109.0,2.5564743708225826,76
32,81,-2820124.0,11.151289139264895,0.4760124106621675,81,96.0,10.407508020817897,9
33,81,-2415761.0,11.76058151398176,0.4645830241261561,69,60.0,10.199642273746278,7
34,81,-1888207.0,9.681034476668746,0.45342806504973104,69,348.0,8.604700482872449,18
35,81,-2689065.0,9.947352606573222,0.44254094424017076,69,78.0,10.043121280030084,8
36,81,-2417706.0,11.343383194487771,0.4319152307158189,73,90.0,9.428657598353146,13
37,81,-1796284.0,10.497363371613584,0.4215446479073275,73,14.0,9.866151636845983,5
38,81,-2459541.0,10.410363693296173,0.41142306995011096,73,110.0,9.358706426211866,15
39,81,-2361076.0,9.440934343102537,0.40154451806582075,83,346.0,9.679893731232456,16
40,81,-5037071.0,10.84026704158312,0.3919031570307031,84,74.0,9.320420503243897,9
41,81,-1663678.0,9.927215789571221,0.38249329172875424,87,146.0,7.823425253291472,14
42,81,-1744333.0,8.956569265436244,0.37330936378763613,59,1295.0,3.885916297881254,38
43,81,-1615495.0,11.12624849507838,0.3643459482953674,69,76.0,10.355797343029383,8
44,81,-1765123.0,7.6405170508372935,0.35559775059584803,81,74.0,10.444214078074198,8
45,81,-1196794.0,7.842680748598076,0.3470596031613256,60,381.0,4.973681402454351,22
46,81,-2294286.0,8.168502189494946,0.33872646253995503,65,31.0,10.081007219992879,5
