episode,decisions,episode_reward,avg_loss_j1,avg_loss_j2,epsilon_j1,epsilon_j2,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
75,81,-993786.0,50.036523050732086,51.94548433503987,0.1,0.1,58,487.0,4.986557767390758,32
76,81,-800097.0,53.08180643452538,42.83782147478174,0.1,0.1,52,865.0,4.3350539586838215,33
77,81,-856896.0,54.98091493712531,44.547768042411334,0.1,0.1,58,483.0,4.903797547682151,32
78,81,-960511.0,56.043561935424805,52.30741270530371,0.1,0.1,61,216.0,5.569383884011067,19
79,81,-1094846.0,66.68207979496614,42.10631922292121,0.1,0.1,58,202.0,5.095802438020188,20
80,80,-941120.0,50.1891327381134,43.73622508496046,0.1,0.1,60,400.0,5.464976857033481,27
81,81,-939128.0,56.25476980798038,45.154683697370835,0.1,0.1,61,219.0,5.737800952907144,19
82,80,-760551.0,55.92769066393375,44.453512489795685,0.1,0.1,72,480.0,6.446082682776278,30
83,81,-981294.0,53.54206643428331,43.77972905650551,0.1,0.1,60,500.0,5.5459814232933,32
84,81,-679577.0,46.07065951824188,45.14632694662353,0.1,0.1,51,824.0,4.4221284000585275,32
85,81,-904538.0,55.47212851783376,41.86387346335399,0.1,0.1,60,563.0,5.2877844029926555,32
86,80,-914042.0,54.30701924711466,43.01944940239191,0.1,0.1,60,401.0,5.431145356045142,26
87,81,-824849.0,57.71987160488411,49.19640236725042,0.1,0.1,58,221.0,5.384857732213698,19
88,80,-800172.0,51.8840652525425,36.428352526575324,0.1,0.1,55,912.0,4.98579549350165,32
89,81,-813124.0,47.66423310468226,45.52045267820358,0.1,0.1,58,485.0,4.896830367257366,31
90,81,-783358.0,67.6985806874287,44.03661149813805,0.1,0.1,71,345.0,9.022420700298674,16
91,80,-811739.0,46.68399706333876,39.35425530299544,0.1,0.1,50,743.0,4.44256799502877,31
92,80,-865747.0,55.00596637278795,45.1143227532506,0.1,0.1,49,689.0,4.578662720461922,30
93,81,-966713.0,47.05976253674354,47.92793031827903,0.1,0.1,58,487.0,4.915544203476896,32
94,81,-833846.0,49.07348737819695,41.764275232950844,0.1,0.1,71,345.0,9.028087219199442,16
95,80,-864124.0,48.049117183685304,47.65734800994396,0.1,0.1,49,713.0,4.600070870113279,30
96,81,-766232.0,46.17997238076764,50.09248608277168,0.1,0.1,71,347.0,9.083389649839042,16
97,80,-945687.0,45.12356302440166,48.30747345238924,0.1,0.1,50,755.0,4.510921324340623,31
98,81,-882720.0,49.21434180088985,44.90182753992669,0.1,0.1,60,509.0,5.479224390679665,32
99,81,-814385.0,45.63077249497543,43.348065582322484,0.1,0.1,58,487.0,4.914905350522842,32
100,80,-885830.0,40.54484064877033,40.808547189831735,0.1,0.1,49,711.0,4.582074149513925,30
