step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,2.0494989515592654,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,3.9575111870498705,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,5.886921591680341,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,6.639054692992277,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,8.586761144269257,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,9.140913782620618,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,10.302548882451259,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,9.690256695747792,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,10.411662682095026,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,11.023427464278418,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,10.415358231094805,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,7.295397491336584,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,8.42006450699124,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,9.38547010301,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,10.171289069100679,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,9.22696681498738,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,9.22388374077125,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,9.105109404730037,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,0.0,9.006339362060935,0,2,2,4.0,6.0,4.0,4.0
20,main_green,main_green,18,2.0,8.571730765927045,3,2,2,8.0,10.0,8.0,8.0
21,main_green,main_green,19,6.0,8.48075198283225,5,2,2,8.0,10.0,8.0,8.0
22,main_green,main_green,19,10.0,8.82849259535162,4,2,2,8.0,10.0,8.0,8.0
23,main_green,main_green,19,14.0,9.211442620458879,4,2,2,8.0,10.0,8.0,8.0
24,main_green,main_green,24,18.0,7.462046995540054,9,2,2,8.0,10.0,8.0,8.0
25,main_green,main_green,24,22.0,8.045992349956935,4,2,2,8.0,10.0,8.0,8.0
26,main_green,main_green,25,26.0,8.306813140431878,5,2,2,8.0,10.0,8.0,8.0
