episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed
1,112,-292882.0,14.542109158574318,0.9521577859830145,118,3003.0,2.482530587978852
2,110,-185452.0,4.585566064444455,0.8529285032149548,83,1560.0,3.6472433027699465
3,110,-170901.0,2.674335331808437,0.7640404167313927,94,444.0,3.5753599494921593
4,111,-212324.0,2.7493390542966827,0.6837314012165328,101,3679.0,2.45847376578976
5,109,-154742.0,3.0563300126189485,0.6130893082982078,106,1043.0,3.586070212646434
6,108,-164819.0,3.5027376976278095,0.5502961455841082,98,1009.0,3.1268786084283553
7,108,-123808.0,3.53009800557737,0.4939343155164451,112,1578.0,2.8043621905452123
8,109,-138411.0,3.6021318545035266,0.4429017700604677,96,789.0,2.965029096130909
9,107,-128809.0,3.665930106261066,0.3979373065922575,102,1630.0,2.7375204416395738
10,107,-165051.0,3.6058176332545058,0.35753774467029337,132,2780.0,2.521105248199502
11,106,-141218.0,4.340516038660733,0.3215612056074402,126,5429.0,2.8134786439893915
12,107,-99234.0,4.370477976085984,0.28891553096867023,118,2954.0,2.61156869877157
13,107,-130119.0,4.8277837160591766,0.2595841245128649,111,3323.0,2.6873620388298995
14,106,-135644.0,5.13752584637336,0.23346397766166824,128,885.0,2.719592699594588
15,107,-116365.0,4.721824139078087,0.20976214758481407,128,2000.0,3.2573870276473493
16,106,-107322.0,5.53318327665329,0.1886552401072492,119,2000.0,2.6515039439672057
17,106,-140207.0,5.9529931905134665,0.1696721740777052,120,2805.0,2.838436605080619
18,106,-96043.0,5.614754512624921,0.15259924208778378,108,869.0,3.097158870672525
19,105,-101047.0,6.090891769954136,0.13738162224299097,126,2010.0,2.1289660922150646
20,105,-112086.0,6.891989110765003,0.1236815456741172,125,2522.0,2.1146603787886145
21,107,-109642.0,6.611798979411615,0.11112509474506281,127,1402.0,2.526931368201026
22,105,-108740.0,7.093303328468686,0.10004339195341891,104,522.0,2.9466894049498786
23,105,-135881.0,6.625360503650847,0.1,129,2769.0,2.5910498014533503
