episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed
24,105,-111017.0,7.039752734275091,0.1,126,940.0,3.388841855943968
25,105,-96983.0,6.685638503801255,0.1,118,1495.0,3.1087398810250573
26,105,-85868.0,6.840908575057983,0.1,128,1220.0,2.466875517482718
27,105,-104864.0,6.267309748558771,0.1,120,2774.0,2.8414010749998537
28,105,-127357.0,6.682027180989583,0.1,129,3393.0,2.0146076126721915
29,105,-125566.0,7.6482707931881855,0.1,116,1614.0,2.399434154342013
30,106,-114341.0,8.04305796690707,0.1,130,1043.0,3.3062163312406896
31,105,-113003.0,8.223143653642564,0.1,125,1182.0,3.9052410003739526
32,105,-129438.0,8.97435607683091,0.1,129,1603.0,2.6452344490098474
33,105,-123852.0,7.649933272316343,0.1,133,3333.0,2.376564874355425
34,105,-96680.0,8.655239100683303,0.1,109,938.0,2.1334785949724075
35,105,-120439.0,9.47776764915103,0.1,133,2205.0,2.1073822291359585
36,105,-110372.0,10.357219179471334,0.1,123,1108.0,3.2013368244738207
37,104,-96858.0,9.792171159615883,0.1,113,632.0,2.6893419817760815
38,105,-98630.0,8.92492996624538,0.1,103,1450.0,3.7947415983518433
39,105,-107281.0,9.282140614872887,0.1,111,1451.0,2.8422099288032996
40,105,-107279.0,9.994268460500807,0.1,126,1594.0,2.774508779995213
41,104,-133870.0,10.721133346741016,0.1,132,3962.0,2.2267609705903597
42,104,-97300.0,9.184312868576784,0.1,121,1223.0,3.041031715187731
43,104,-108682.0,9.309323917214687,0.1,123,1249.0,2.530277763758995
44,105,-138493.0,12.004157204855057,0.1,124,1865.0,3.288853606955282
45,105,-117107.0,11.317611337843395,0.1,127,1761.0,2.7521811819332886
46,105,-127259.0,14.110239603405907,0.1,121,1955.0,2.232243922947729
47,105,-118621.0,14.260607907885596,0.1,110,1004.0,2.779512348112561
48,105,-93586.0,12.367882204055785,0.1,121,2109.0,2.838740613310047
49,105,-113705.0,12.50048611504691,0.1,131,3012.0,2.054364677326255
50,105,-114276.0,11.413387406440009,0.1,121,1831.0,2.6874477081347106
51,105,-97732.0,11.548305337769644,0.1,111,696.0,2.8340090092264423
52,105,-100127.0,15.63131581033979,0.1,119,3615.0,2.766126415082672
53,104,-110413.0,11.401882106294998,0.1,125,2652.0,3.8540824539207805
54,105,-106810.0,13.264832438741411,0.1,117,4393.0,2.9607018722457528
55,105,-111913.0,10.576975393295289,0.1,107,467.0,3.2684588250162117
56,106,-114216.0,12.857083218277625,0.1,124,691.0,3.4159405559303093
57,105,-101890.0,11.040890501794362,0.1,122,2305.0,2.88142631666941
58,105,-119733.0,13.905450191951934,0.1,130,1437.0,2.2362691503319696
59,104,-114217.0,13.301107709224407,0.1,125,999.0,2.0283151843553635
60,105,-108949.0,11.140592749913534,0.1,120,746.0,2.361739755729414
61,105,-118481.0,14.061919875372023,0.1,104,471.0,2.940677073580618
62,104,-123021.0,12.232683869508596,0.1,138,4810.0,2.08229299326553
63,105,-103852.0,14.6847467536018,0.1,115,992.0,2.897501523013361
64,104,-109064.0,15.307746990368916,0.1,121,1193.0,3.2278989170545924
65,105,-96947.0,16.79448190984272,0.1,99,1620.0,2.8910405929234293
66,104,-115735.0,15.081782901516327,0.1,131,697.0,3.0661282697920895
67,104,-128458.0,12.510551309356323,0.1,134,2242.0,1.9420985102837147
68,105,-119832.0,13.598408107530503,0.1,126,3518.0,2.1319232935493906
69,105,-111546.0,15.757239018167768,0.1,111,1073.0,3.5401901533999287
70,106,-102152.0,12.67110352696113,0.1,118,594.0,3.3959577204943936
71,105,-102492.0,14.350665824753898,0.1,118,1160.0,3.2409524565537193
72,105,-109651.0,14.249022777875265,0.1,109,391.0,3.8019810737262394
73,105,-117190.0,15.272721926371256,0.1,130,2513.0,2.5211812285518875
74,104,-104499.0,16.37948424770282,0.1,124,979.0,2.3398313235698693
75,105,-104084.0,12.581221526009696,0.1,127,2709.0,2.283203174284454
76,105,-116280.0,18.113186922527493,0.1,122,711.0,2.9751248955545946
77,104,-102556.0,15.596229989941303,0.1,127,808.0,2.3830677380504808
78,106,-96648.0,15.629096890395543,0.1,97,1171.0,3.281592767104156
79,105,-118830.0,15.295123944963727,0.1,102,714.0,3.099051543003842
80,105,-109739.0,17.263407174746195,0.1,132,1197.0,2.1592530967769434
81,105,-105678.0,14.743204597064427,0.1,137,1983.0,2.220666321223276
82,105,-98566.0,14.152509096690586,0.1,129,1042.0,2.5930906878349016
83,104,-107367.0,14.941984510192505,0.1,119,1862.0,3.3580307158776876
84,105,-123132.0,16.925130478541057,0.1,127,2534.0,1.7745114894843879
85,106,-119856.0,13.547817612594029,0.1,137,3671.0,2.3640791324263626
86,104,-129663.0,18.322887491721374,0.1,122,845.0,2.686969838529396
87,104,-100181.0,15.183919709462385,0.1,132,2381.0,2.2663098829844297
88,105,-98900.0,18.935495869318643,0.1,136,3128.0,1.9032976030852726
89,106,-117305.0,17.442117048884338,0.1,138,3044.0,1.9047814373600531
90,105,-112261.0,16.746074998946415,0.1,110,1228.0,3.030149301178191
91,104,-122860.0,17.860047082488354,0.1,113,1312.0,2.2941132852667687
92,105,-85618.0,15.16114178498586,0.1,140,1307.0,2.844704199598017
93,105,-108655.0,14.813154976708548,0.1,119,1278.0,3.1384467549469997
94,104,-110508.0,14.52140227647928,0.1,110,716.0,2.7760164725521874
95,105,-104010.0,22.49137052127293,0.1,116,2222.0,2.389973519265975
96,105,-85843.0,16.64781805333637,0.1,120,1282.0,2.6736412019213276
97,106,-83327.0,21.891356414219118,0.1,120,1215.0,2.6208141065494903
98,105,-137667.0,20.26213858468192,0.1,127,727.0,2.6653094975331633
99,105,-123375.0,20.027320253281367,0.1,130,2489.0,2.587054232020347
100,105,-110411.0,21.685460570880345,0.1,97,1243.0,2.9610396963810803
